n_shots,accuracy,run_num,nspw,f1
1000,95.19999999999999,0,1000,0.9532561102445948
250,93.2,0,250,0.9014424712526367
10,70.39999999999999,0,10,0.751227443187959
25,86.0,0,25,0.8401391958918006
100,93.60000000000001,0,100,0.8933780452441428
2,66.4,0,2,0.6875853991479718
50,90.8,0,50,0.8913168828765747
500,94.39999999999999,0,500,0.9313275324812702
5,67.60000000000001,0,5,0.7277230804312925
75,93.60000000000001,0,75,0.9277816339854218
1129,96.0,0,1129,0.9606558688760546
750,95.6,0,750,0.9416130717032768
20,85.6,0,20,0.8614230839582954
200,95.19999999999999,0,200,0.9184647370355722
