n_shots,accuracy,run_num,nspw,f1
1,63.2,1,1,0.6604947024301863
1000,93.2,2,1000,0.9373769332709235
1000,94.39999999999999,5,1000,0.9249066642472958
750,95.19999999999999,8,750,0.9533649815822455
1,63.2,6,1,0.6604947024301863
1,63.2,8,1,0.6604947024301863
750,95.19999999999999,6,750,0.9534928546656422
75,92.4,5,75,0.9169452483730128
750,95.6,1,750,0.9564993537978038
75,92.0,2,75,0.914144815754795
500,94.0,5,500,0.9290256662069982
500,93.60000000000001,2,500,0.9249679882583374
100,92.80000000000001,3,100,0.8858307011103622
100,92.0,4,100,0.8795820670355824
500,94.8,3,500,0.9345212063141118
500,94.0,4,500,0.9283212463783572
750,95.6,0,750,0.9416130717032768
75,91.60000000000001,3,75,0.9119187473212181
1,63.2,9,1,0.6604947024301863
750,95.19999999999999,7,750,0.95410850511734
75,92.80000000000001,4,75,0.9074210304505402
1000,95.19999999999999,4,1000,0.9533930636961868
750,94.0,9,750,0.9406835848913406
1,63.2,7,1,0.6604947024301863
1,63.2,0,1,0.6604947024301863
1000,95.19999999999999,3,1000,0.9522781035825756
100,92.4,5,100,0.8833972440280188
100,93.2,2,100,0.8899137313866873
100,92.0,1,100,0.8789111175654699
100,92.80000000000001,6,100,0.8859484025386085
100,92.4,8,100,0.8821684836594047
500,93.2,9,500,0.9192491080379263
500,94.0,7,500,0.9258728637047094
500,94.39999999999999,0,500,0.9313275324812702
1000,94.0,9,1000,0.9426306983393875
750,94.39999999999999,4,750,0.9450010957505498
75,94.0,7,75,0.9310234358564068
750,93.2,3,750,0.9378639659089356
75,93.60000000000001,0,75,0.9277816339854218
1,63.2,3,1,0.6604947024301863
1000,95.19999999999999,0,1000,0.9532561102445948
1000,94.39999999999999,7,1000,0.9461344864488899
1,63.2,4,1,0.6604947024301863
75,92.80000000000001,9,75,0.9204272137714731
100,92.80000000000001,9,100,0.8868191721132899
100,92.4,7,100,0.8830110624144362
100,93.60000000000001,0,100,0.8933780452441428
1000,94.39999999999999,6,1000,0.9452892821666768
1,63.2,5,1,0.6604947024301863
75,92.4,8,75,0.9180990955328553
1,63.2,2,1,0.6604947024301863
1000,95.6,1,1000,0.9560327113082013
750,95.6,2,750,0.9572094525805225
75,93.60000000000001,1,75,0.9268856863274961
1000,94.8,8,1000,0.9501505507059177
750,94.39999999999999,5,750,0.9481530224862507
75,92.80000000000001,6,75,0.9205942583980499
500,94.0,1,500,0.9277912292629084
500,94.0,6,500,0.9257766861707836
500,94.39999999999999,8,500,0.9308230280979822
