n_shots,accuracy,run_num,nspw,f1
500,93.60000000000001,0,500,0.9411632787734368
1,63.2,0,1,0.6604947024301863
1000,96.0,0,1000,0.9618241190288753
5,66.4,0,5,0.719151617286481
250,94.0,0,250,0.9107168241643288
2,66.4,0,2,0.6875853991479718
75,93.60000000000001,0,75,0.9220592614447208
100,95.19999999999999,0,100,0.9195542871493484
200,93.2,0,200,0.9010033989100846
50,91.2,0,50,0.8739329284618523
10,70.0,0,10,0.7515622966345054
25,91.2,0,25,0.9055916801215215
1129,95.19999999999999,0,1129,0.9533570565688348
