n_shots,accuracy,run_num,nspw,f1
2,37.2,9,2,0.20849538468586085
200,88.4,8,200,0.875272933621391
2,58.4,7,2,0.4443481252149983
200,88.0,6,200,0.8368030975071029
100,90.0,2,100,0.8884934085717083
100,88.8,5,100,0.7374923657305418
2,25.6,0,2,0.20305079512119806
200,89.2,1,200,0.9009157894656304
50,83.2,1,50,0.6992960237760014
1,57.199999999999996,8,1,0.5129126621916065
1000,92.4,3,1000,0.9259877778226674
1000,94.0,4,1000,0.9230732584817788
50,89.60000000000001,6,50,0.7451505643656896
5,68.0,8,5,0.47587659254325926
50,88.4,8,50,0.8914242802271567
5,55.60000000000001,6,5,0.4410678696382455
1,49.6,1,1,0.47112346134740624
5,62.4,1,5,0.42173642354961666
1,16.400000000000002,6,1,0.08943946582322966
1129,91.60000000000001,8,1129,0.9003399829941086
250,89.60000000000001,5,250,0.8775347914984986
75,84.39999999999999,5,75,0.7001915523118054
75,83.6,2,75,0.8195269534696022
250,91.2,2,250,0.8686145114474576
750,92.0,9,750,0.9010910611451289
1129,89.60000000000001,1,1129,0.8843288237997173
750,88.0,7,750,0.873154861369671
750,90.0,0,750,0.888918346539071
1129,91.2,6,1129,0.9158294252456772
25,83.6,0,25,0.8117408046251867
10,71.2,7,10,0.7422726537927419
500,91.60000000000001,4,500,0.9004097200209545
500,90.8,3,500,0.9142168322463524
25,86.4,7,25,0.8618180164471229
10,72.39999999999999,0,10,0.5596212398002679
20,79.60000000000001,3,20,0.6429969668995242
25,79.60000000000001,9,25,0.658909196471262
10,78.8,9,10,0.6319333607944478
20,81.2,4,20,0.671076406370524
1,36.4,7,1,0.20569189608335514
5,57.199999999999996,0,5,0.4734907365405561
50,81.2,9,50,0.8121932474941485
1,63.6,0,1,0.5762154582909299
5,64.4,7,5,0.6288144583375744
1000,92.0,5,1000,0.9030548948321363
50,86.8,7,50,0.8538919530338296
5,67.60000000000001,9,5,0.5602231427324993
50,86.0,0,50,0.8735048463097245
1,51.6,9,1,0.4265999579371195
1000,91.60000000000001,2,1000,0.8708033645505459
100,86.8,4,100,0.7054143512589346
2,31.6,1,2,0.13752679528403
200,89.60000000000001,0,200,0.87962900295742
2,17.2,6,2,0.10371212121212121
200,94.39999999999999,7,200,0.9469573671680952
100,86.8,3,100,0.8554781629355331
2,56.8,8,2,0.4988945910413945
200,89.2,9,200,0.8786004639416988
10,82.8,8,10,0.6813602725792259
20,81.6,5,20,0.6762687366818138
20,78.4,2,20,0.6119057403297125
25,81.2,8,25,0.6568581185436778
500,90.0,2,500,0.8809720847581989
25,80.80000000000001,6,25,0.6549569055083238
10,58.8,1,10,0.392786108320977
25,71.6,1,25,0.5615182815374261
10,68.0,6,10,0.5115838049474183
500,88.8,5,500,0.8619765944392809
750,90.0,1,750,0.8960530939404844
1129,94.39999999999999,7,1129,0.948369241862781
1129,93.2,0,1129,0.9335122562175702
750,92.0,6,750,0.9226265477448709
75,85.6,3,75,0.8470874418561175
750,91.60000000000001,8,750,0.9191317495616976
250,88.4,3,250,0.8721018947654872
1129,93.60000000000001,9,1129,0.9166892569858622
250,91.60000000000001,4,250,0.8710583521869485
75,85.6,4,75,0.7009961001908982
20,65.2,1,20,0.44280515044597674
500,91.2,8,500,0.8971035513989037
20,85.6,6,20,0.7165896175519206
25,81.6,2,25,0.6621072050335276
10,69.19999999999999,5,10,0.6641579169356946
500,88.0,6,500,0.8648895753288762
20,80.80000000000001,8,20,0.6559783699622589
500,89.60000000000001,1,500,0.8901940655727428
25,80.4,5,25,0.6798179599360776
10,82.39999999999999,2,10,0.6681320523553779
750,88.4,5,750,0.8711261054017677
1129,93.2,3,1129,0.9360894893257727
1129,95.19999999999999,4,1129,0.9363152735056572
750,93.60000000000001,2,750,0.9181943405858738
250,90.0,9,250,0.8851444680460663
75,80.80000000000001,9,75,0.8096149342830348
250,93.2,7,250,0.9362173080126603
75,92.0,7,75,0.922329520692807
75,87.2,0,75,0.8517687560730803
250,92.80000000000001,0,250,0.9077892825181949
1000,91.60000000000001,8,1000,0.919049055271365
5,41.199999999999996,4,5,0.30610061739715144
1,36.8,3,1,0.27278525672510284
5,56.39999999999999,3,5,0.43275464366721944
1,19.2,4,1,0.18747662625702885
50,89.60000000000001,3,50,0.8846262458242458
1000,89.60000000000001,1,1000,0.9048034145256367
1000,91.60000000000001,6,1000,0.9200823607104479
50,83.2,4,50,0.6869284011880773
2,26.400000000000002,5,2,0.16911891877205523
200,89.2,4,200,0.7407829547960265
100,89.2,0,100,0.8711835665577793
100,92.4,7,100,0.9289979094610294
2,30.4,2,2,0.21050732674107175
200,87.6,3,200,0.8615953133908034
100,86.4,9,100,0.8777151652916646
75,84.0,1,75,0.6959855411909301
250,90.8,1,250,0.9219919786096256
250,89.2,6,250,0.8806792933133281
75,90.0,6,75,0.7484826200797162
1129,92.4,5,1129,0.9036890587962381
250,91.2,8,250,0.8980394013104468
750,92.0,3,750,0.9233349912104726
75,82.39999999999999,8,75,0.7990709848124108
750,90.8,4,750,0.8891270880821965
1129,93.2,2,1129,0.9348569786056323
500,90.0,0,500,0.9024024203929731
25,74.4,4,25,0.6059823220160547
10,78.4,3,10,0.6394354700880923
25,82.0,3,25,0.665508764541607
10,66.4,4,10,0.5303693243627831
500,92.4,7,500,0.9300850231342008
20,82.0,9,20,0.6849062378677283
500,92.80000000000001,9,500,0.9135370679614593
20,79.60000000000001,7,20,0.8099791269470756
20,83.2,0,20,0.6718238941664464
100,84.8,8,100,0.8505247838581171
100,90.0,6,100,0.8567417918064796
2,33.6,3,2,0.22974888446013064
200,90.8,2,200,0.8926492413662982
2,33.2,4,2,0.23121764540632248
200,89.60000000000001,5,200,0.742845928450025
100,85.6,1,100,0.7145652426546447
1000,90.8,7,1000,0.9148398378652454
50,87.6,5,50,0.7350943841978402
50,87.2,2,50,0.8531214878751734
1000,92.80000000000001,0,1000,0.9344114553451904
1,38.0,5,1,0.2219264032989523
5,48.0,2,5,0.3357479546410225
1000,93.2,9,1000,0.9376795692735689
1,34.8,2,1,0.22186344414006595
5,52.400000000000006,5,5,0.3868387555134543
