,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer,nspw
360,description,description,2,True,True,True,"{5: 3, 4: 4, 2: 4, 1: 5, 3: 4}","[3916, 391, 2082, 673, 4839, 1717, 5343, 124, 224, 4304, 2957, 855, 259, 749, 4174, 1670, 3126, 5200, 527, 651]",360,20,8,False,20
17,human,human,3,True,True,True,"{5: 3, 4: 4, 2: 4, 1: 5, 3: 4}","[3916, 391, 2082, 673, 4839, 1717, 5343, 124, 224, 4304, 2957, 855, 259, 749, 4174, 1670, 3126, 5200, 527, 651]",17,20,8,False,20
361,description,description,2,True,True,True,"{5: 3, 4: 4, 2: 4, 1: 5, 3: 4}","[3916, 391, 2082, 673, 4839, 1717, 5343, 124, 224, 4304, 2957, 855, 259, 749, 4174, 1670, 3126, 5200, 527, 651]",361,20,8,False,20
411,description,entity,1,True,False,True,"{5: 3, 4: 4, 2: 4, 1: 5, 3: 4}","[3916, 391, 2082, 673, 4839, 1717, 5343, 124, 224, 4304, 2957, 855, 259, 749, 4174, 1670, 3126, 5200, 527, 651]",411,20,8,False,20
67,description,description,2,True,True,True,"{5: 3, 4: 4, 2: 4, 1: 5, 3: 4}","[3916, 391, 2082, 673, 4839, 1717, 5343, 124, 224, 4304, 2957, 855, 259, 749, 4174, 1670, 3126, 5200, 527, 651]",67,20,8,False,20
425,location,entity,1,True,False,True,"{5: 3, 4: 4, 2: 4, 1: 5, 3: 4}","[3916, 391, 2082, 673, 4839, 1717, 5343, 124, 224, 4304, 2957, 855, 259, 749, 4174, 1670, 3126, 5200, 527, 651]",425,20,8,False,20
104,location,location,4,True,True,True,"{5: 3, 4: 4, 2: 4, 1: 5, 3: 4}","[3916, 391, 2082, 673, 4839, 1717, 5343, 124, 224, 4304, 2957, 855, 259, 749, 4174, 1670, 3126, 5200, 527, 651]",104,20,8,False,20
394,description,description,2,True,True,True,"{5: 3, 4: 4, 2: 4, 1: 5, 3: 4}","[3916, 391, 2082, 673, 4839, 1717, 5343, 124, 224, 4304, 2957, 855, 259, 749, 4174, 1670, 3126, 5200, 527, 651]",394,20,8,False,20
450,description,entity,1,True,False,True,"{5: 3, 4: 4, 2: 4, 1: 5, 3: 4}","[3916, 391, 2082, 673, 4839, 1717, 5343, 124, 224, 4304, 2957, 855, 259, 749, 4174, 1670, 3126, 5200, 527, 651]",450,20,8,False,20
141,human,entity,1,True,False,True,"{5: 3, 4: 4, 2: 4, 1: 5, 3: 4}","[3916, 391, 2082, 673, 4839, 1717, 5343, 124, 224, 4304, 2957, 855, 259, 749, 4174, 1670, 3126, 5200, 527, 651]",141,20,8,False,20
142,location,location,4,True,True,True,"{5: 3, 4: 4, 2: 4, 1: 5, 3: 4}","[3916, 391, 2082, 673, 4839, 1717, 5343, 124, 224, 4304, 2957, 855, 259, 749, 4174, 1670, 3126, 5200, 527, 651]",142,20,8,False,20
269,description,description,2,True,True,True,"{5: 3, 4: 4, 2: 4, 1: 5, 3: 4}","[3916, 391, 2082, 673, 4839, 1717, 5343, 124, 224, 4304, 2957, 855, 259, 749, 4174, 1670, 3126, 5200, 527, 651]",269,20,8,False,20
173,description,description,2,True,True,True,"{5: 3, 4: 4, 2: 4, 1: 5, 3: 4}","[3916, 391, 2082, 673, 4839, 1717, 5343, 124, 224, 4304, 2957, 855, 259, 749, 4174, 1670, 3126, 5200, 527, 651]",173,20,8,False,20
238,location,location,4,True,True,True,"{5: 3, 4: 4, 2: 4, 1: 5, 3: 4}","[3916, 391, 2082, 673, 4839, 1717, 5343, 124, 224, 4304, 2957, 855, 259, 749, 4174, 1670, 3126, 5200, 527, 651]",238,20,8,False,20
55,description,description,2,True,True,True,"{5: 3, 4: 4, 2: 4, 1: 5, 3: 4}","[3916, 391, 2082, 673, 4839, 1717, 5343, 124, 224, 4304, 2957, 855, 259, 749, 4174, 1670, 3126, 5200, 527, 651]",55,20,8,False,20
121,numeric,numeric,5,True,True,True,"{5: 3, 4: 4, 2: 4, 1: 5, 3: 4}","[3916, 391, 2082, 673, 4839, 1717, 5343, 124, 224, 4304, 2957, 855, 259, 749, 4174, 1670, 3126, 5200, 527, 651]",121,20,8,False,20
260,human,human,3,True,True,True,"{5: 3, 4: 4, 2: 4, 1: 5, 3: 4}","[3916, 391, 2082, 673, 4839, 1717, 5343, 124, 224, 4304, 2957, 855, 259, 749, 4174, 1670, 3126, 5200, 527, 651]",260,20,8,False,20
62,location,location,4,True,True,True,"{5: 3, 4: 4, 2: 4, 1: 5, 3: 4}","[3916, 391, 2082, 673, 4839, 1717, 5343, 124, 224, 4304, 2957, 855, 259, 749, 4174, 1670, 3126, 5200, 527, 651]",62,20,8,False,20
185,human,human,3,True,True,True,"{5: 3, 4: 4, 2: 4, 1: 5, 3: 4}","[3916, 391, 2082, 673, 4839, 1717, 5343, 124, 224, 4304, 2957, 855, 259, 749, 4174, 1670, 3126, 5200, 527, 651]",185,20,8,False,20
