n_shots,accuracy,run_num,nspw,f1
75,58.97435897435898,1,75,0.38892902861021744
75,68.37606837606837,6,75,0.5173447954020514
500,75.21367521367522,9,500,0.5837018928783635
75,64.1025641025641,8,75,0.47436218278003267
1000,70.94017094017094,3,1000,0.5324466628231334
500,74.35897435897436,7,500,0.5843125696567822
1000,75.21367521367522,4,1000,0.6005898826663533
500,75.21367521367522,0,500,0.59011991929639
10,22.22222222222222,3,10,0.15925459725459723
25,46.15384615384615,4,25,0.2795685425685426
750,68.37606837606837,4,750,0.5372229901385912
20,47.008547008547005,9,20,0.3332433404976143
750,67.52136752136752,3,750,0.5194694738110298
250,62.39316239316239,8,250,0.4474003113181613
10,35.8974358974359,4,10,0.2151101355494055
25,52.991452991452995,3,25,0.35513262955368213
20,52.991452991452995,7,20,0.3667836257309942
250,67.52136752136752,6,250,0.507033848378061
20,30.76923076923077,0,20,0.17215792481749928
250,64.95726495726495,1,250,0.5198037102682264
2,10.256410256410255,4,2,0.031189542483660126
2,5.128205128205128,3,2,0.03553357626236336
200,69.23076923076923,5,200,0.5413438677617176
50,61.53846153846154,5,50,0.40156140350877195
1,9.401709401709402,8,1,0.010096551724137932
100,57.26495726495726,1,100,0.35716356875038413
1091,65.8119658119658,1,1091,0.5134868856633563
5,38.46153846153847,5,5,0.1787950310559006
100,68.37606837606837,6,100,0.5235081976846682
1091,64.1025641025641,6,1091,0.504450557740325
5,25.64102564102564,2,5,0.14155182072829134
200,61.53846153846154,2,200,0.49583639349156583
50,52.13675213675214,2,50,0.4059367960130211
100,57.26495726495726,8,100,0.41380578898225956
1091,70.94017094017094,8,1091,0.5735505299298403
1,11.965811965811966,1,1,0.08978776529338328
1,19.65811965811966,6,1,0.1167916397328162
20,45.2991452991453,1,20,0.27725148818832746
250,72.64957264957265,0,250,0.5243004054768761
20,45.2991452991453,6,20,0.23270944741532978
250,67.52136752136752,7,250,0.5311496772622092
20,36.75213675213676,8,20,0.2645377774173492
250,63.24786324786324,9,250,0.4710079382949352
750,70.08547008547008,2,750,0.5192585829316052
10,41.02564102564102,5,10,0.19323140273375838
25,50.427350427350426,2,25,0.34287815643916625
10,28.205128205128204,2,10,0.19525421387123512
25,55.55555555555556,5,25,0.3227023894578074
750,68.37606837606837,5,750,0.5147523216733974
1000,71.7948717948718,5,1000,0.5178228829993535
500,72.64957264957265,1,500,0.5737099937099938
75,59.82905982905983,9,75,0.4445603677368383
1000,72.64957264957265,2,1000,0.5631078738705514
500,73.50427350427351,6,500,0.5708118939883646
75,62.39316239316239,7,75,0.43147559587787293
500,77.77777777777779,8,500,0.584681641099491
75,54.700854700854705,0,75,0.42294194041252864
1,22.22222222222222,7,1,0.09230125355440746
100,60.68376068376068,9,100,0.468282142258613
1091,66.66666666666666,9,1091,0.49423315663376516
1,23.076923076923077,0,1,0.1088680616099971
100,61.53846153846154,7,100,0.4644710753866764
1091,62.39316239316239,7,1091,0.4855044606809313
5,13.675213675213676,3,5,0.07641647241647241
200,68.37606837606837,3,200,0.5507925841718945
50,58.97435897435898,3,50,0.4319400129282483
200,67.52136752136752,4,200,0.4895453344609355
50,49.572649572649574,4,50,0.3341952294529428
1,5.128205128205128,9,1,0.05029239766081872
100,60.68376068376068,0,100,0.4666504131927374
1091,70.94017094017094,0,1091,0.5311549586403478
5,12.82051282051282,4,5,0.04344152324640129
2,23.076923076923077,2,2,0.16735209235209236
2,8.547008547008547,5,2,0.03966666666666667
1,10.256410256410255,3,1,0.00761904761904762
50,59.82905982905983,9,50,0.43637721755368813
200,64.1025641025641,9,200,0.49436790129541547
1,5.128205128205128,4,1,0.05028019323671498
5,14.529914529914532,9,5,0.067286470143613
50,57.26495726495726,7,50,0.3800344781674705
200,67.52136752136752,7,200,0.5356304517746644
100,62.39316239316239,3,100,0.5186449782101955
1091,64.95726495726495,3,1091,0.48247860690193656
5,11.965811965811966,7,5,0.04714765694076038
100,56.41025641025641,4,100,0.4036873279976729
1091,73.50427350427351,4,1091,0.5927933791698498
5,15.384615384615385,0,5,0.07045215100965758
50,53.84615384615385,0,50,0.42467973118100993
200,70.08547008547008,0,200,0.5441540000197446
2,16.23931623931624,8,2,0.12604329004329004
2,14.529914529914532,6,2,0.04190738423028786
2,5.982905982905983,1,2,0.024
20,53.84615384615385,5,20,0.3050813081989553
250,70.08547008547008,4,250,0.5185219662058371
10,26.495726495726498,8,10,0.1266184672067025
25,38.46153846153847,8,25,0.26559844054580894
20,41.88034188034188,2,20,0.26075757575757574
250,70.94017094017094,3,250,0.541052343194331
750,73.50427350427351,8,750,0.5503518451804897
10,23.931623931623932,1,10,0.11704496713939813
25,54.700854700854705,6,25,0.31763009486209326
750,74.35897435897436,6,750,0.5961930905695612
750,70.94017094017094,1,750,0.562895351271822
10,17.094017094017094,6,10,0.09876622889305815
25,47.863247863247864,1,25,0.28298614939554545
1000,64.1025641025641,1,1000,0.49298438816085877
500,66.66666666666666,5,500,0.49942991198569303
1000,61.53846153846154,6,1000,0.4749308363486863
500,77.77777777777779,2,500,0.6276140028553823
1000,71.7948717948718,8,1000,0.5395826512005011
75,65.8119658119658,3,75,0.517755377955378
75,53.84615384615385,4,75,0.37728004963917494
2,8.547008547008547,0,2,0.06546788990825687
2,11.965811965811966,7,2,0.039827586206896554
2,17.94871794871795,9,2,0.12591128759195985
100,53.84615384615385,5,100,0.40586677301193425
1091,70.08547008547008,5,1091,0.5087772180518653
5,20.51282051282051,1,5,0.0884544409313021
50,52.13675213675214,1,50,0.3460653267154815
200,66.66666666666666,1,200,0.5297363785639648
50,63.24786324786324,6,50,0.48272983330321834
200,71.7948717948718,6,200,0.5421888358870457
100,55.55555555555556,2,100,0.4329493525660509
1091,67.52136752136752,2,1091,0.5217172588937296
5,15.384615384615385,6,5,0.05042824730572887
50,61.53846153846154,8,50,0.41459287101072095
200,62.39316239316239,8,200,0.4370356916960333
1,3.418803418803419,5,1,0.03336752136752137
5,16.23931623931624,8,5,0.04583683767872161
1,7.6923076923076925,2,1,0.055960063535284765
75,52.991452991452995,5,75,0.3730239394262165
1000,67.52136752136752,9,1000,0.48699127983549245
75,55.55555555555556,2,75,0.45689436234263814
1000,62.39316239316239,7,1000,0.4712391158892708
500,65.8119658119658,3,500,0.5005047552710625
1000,73.50427350427351,0,1000,0.5469327127320976
500,73.50427350427351,4,500,0.5721624994371467
750,74.35897435897436,0,750,0.5672542460169234
10,33.33333333333333,7,10,0.2141988207870561
25,34.18803418803419,0,25,0.2348986547179325
10,21.367521367521366,0,10,0.08622431208638105
25,52.13675213675214,7,25,0.3630019493177388
750,71.7948717948718,7,750,0.5616694502252312
25,58.119658119658126,9,25,0.39390832699965367
20,41.88034188034188,3,20,0.2771662001021126
750,79.48717948717949,9,750,0.6009539060981186
250,64.1025641025641,2,250,0.5305818778922228
20,37.60683760683761,4,20,0.25053372434017596
250,68.37606837606837,5,250,0.5077276449041155
10,16.23931623931624,9,10,0.080010989010989
