n_shots,accuracy,run_num,nspw,f1
20,100.0,6,20,0.26
5,100.0,4,5,0.1
20,100.0,1,20,0.2
5,100.0,3,5,0.08
10,100.0,2,10,0.16
25,100.0,5,25,0.32
20,100.0,8,20,0.26
10,100.0,5,10,0.16
25,100.0,2,25,0.28
75,97.33333333333334,9,75,0.5538680033416875
2,100.0,5,2,0.04
2,50.0,2,2,0.02
200,100.0,8,200,0.64
100,98.0,2,100,0.57194743130227
75,98.66666666666667,0,75,0.4937777777777778
200,100.0,6,200,0.78
75,100.0,7,75,0.6
200,99.0,1,200,0.7376103896103896
100,100.0,5,100,0.56
500,99.4,4,500,0.8353074699419436
500,99.6,3,500,0.8974820990111794
50,100.0,4,50,0.38
50,96.0,3,50,0.41600000000000004
250,99.6,5,250,0.7585825027685493
250,100.0,2,250,0.78
1,100.0,4,1,0.02
1,100.0,3,1,0.02
75,97.33333333333334,6,75,0.4527251461988305
200,100.0,0,200,0.7
100,99.0,4,100,0.536923076923077
100,98.0,3,100,0.5579999999999999
75,97.33333333333334,1,75,0.4322393162393163
200,100.0,7,200,0.7
2,100.0,3,2,0.04
200,99.0,9,200,0.6965079365079364
75,100.0,8,75,0.48
2,100.0,4,2,0.04
20,90.0,9,20,0.2337777777777778
10,100.0,4,10,0.16
25,100.0,3,25,0.3
10,100.0,3,10,0.18
25,100.0,4,25,0.22
5,100.0,2,5,0.06
20,100.0,0,20,0.18
5,100.0,5,5,0.1
20,100.0,7,20,0.28
1,100.0,2,1,0.02
1,100.0,5,1,0.02
250,99.6,3,250,0.7766300366300366
250,99.2,4,250,0.7144973544973544
50,100.0,2,50,0.44
50,100.0,5,50,0.46
500,99.6,2,500,0.858350237807198
500,100.0,5,500,0.82
1,100.0,6,1,0.02
1,100.0,1,1,0.02
250,99.2,9,250,0.7339769661676258
250,100.0,7,250,0.8
1,100.0,8,1,0.02
250,100.0,0,250,0.76
50,98.0,6,50,0.41846153846153844
500,100.0,8,500,0.84
50,98.0,1,50,0.392
500,99.0,6,500,0.7679165390342216
50,100.0,8,50,0.44
500,99.8,1,500,0.9330256410256409
100,100.0,0,100,0.56
75,97.33333333333334,2,75,0.5114285714285715
200,98.0,4,200,0.6467721188340383
75,100.0,5,75,0.54
200,99.0,3,200,0.7122807017543861
2,100.0,9,2,0.04
100,100.0,7,100,0.62
2,100.0,7,2,0.04
100,99.0,9,100,0.6553246753246753
2,100.0,0,2,0.04
10,100.0,0,10,0.14
25,96.0,7,25,0.31714285714285717
5,100.0,8,5,0.1
10,100.0,7,10,0.16
25,100.0,0,25,0.24
20,100.0,4,20,0.2
5,100.0,6,5,0.1
10,90.0,9,10,0.15333333333333332
25,92.0,9,25,0.2541818181818182
20,100.0,3,20,0.28
5,100.0,1,5,0.08
50,98.0,9,50,0.4544615384615385
500,99.8,0,500,0.8573856209150326
500,99.8,7,500,0.8967919799498746
500,99.4,9,500,0.8363994611730938
50,100.0,0,50,0.42
50,100.0,7,50,0.5
1,100.0,9,1,0.02
250,99.6,1,250,0.758655462184874
250,100.0,6,250,0.78
1,100.0,0,1,0.02
250,100.0,8,250,0.72
1,100.0,7,1,0.02
25,100.0,8,25,0.3
5,100.0,0,5,0.1
20,100.0,2,20,0.24
5,100.0,7,5,0.08
20,100.0,5,20,0.28
10,100.0,8,10,0.18
5,100.0,9,5,0.1
10,100.0,6,10,0.14
25,100.0,1,25,0.24
10,100.0,1,10,0.16
25,100.0,6,25,0.26
2,100.0,1,2,0.02
2,100.0,6,2,0.04
100,100.0,8,100,0.52
75,98.66666666666667,4,75,0.49595959595959593
200,99.5,2,200,0.7666666666666667
2,100.0,8,2,0.04
100,99.0,6,100,0.5589473684210526
100,100.0,1,100,0.54
75,97.33333333333334,3,75,0.4777777777777778
200,100.0,5,200,0.72
