n_shots,accuracy,run_num,nspw,f1
100,78.0,9,100,0.5203725496888967
100,78.8,7,100,0.5179652596476917
200,81.6,3,200,0.48413278619059563
75,74.4,3,75,0.4824783769314427
200,82.0,4,200,0.49209359417597404
75,73.6,4,75,0.4745270998856158
100,80.4,0,100,0.5082703704223764
1000,80.80000000000001,9,1000,0.4674571295400563
2,34.8,7,2,0.26572470171042617
20,62.4,5,20,0.48884534431426346
10,53.2,8,10,0.36961374338931885
25,64.4,8,25,0.4799113675370236
2,34.8,0,2,0.26572470171042617
20,62.4,2,20,0.48884534431426346
25,64.4,6,25,0.4799113675370236
10,53.2,1,10,0.36961374338931885
1000,79.2,0,1000,0.46193573254772063
1000,81.6,7,1000,0.503985646803912
2,34.8,9,2,0.26572470171042617
25,64.4,1,25,0.4799113675370236
10,53.2,6,10,0.36961374338931885
1056,82.8,7,1056,0.49231231807048587
250,80.4,0,250,0.48095981089199186
250,82.39999999999999,7,250,0.5090658016772517
1056,81.6,0,1056,0.4799915640531319
250,82.39999999999999,9,250,0.4928410383942299
750,85.2,2,750,0.5246612203818432
1,28.4,3,1,0.20176675944251027
1,28.4,4,1,0.20176675944251027
1056,84.0,9,1056,0.5167787329255965
750,81.6,5,750,0.48946609088502213
500,82.39999999999999,1,500,0.49943157428213003
500,82.0,6,500,0.4917106072607726
500,84.0,8,500,0.5052304936571455
1000,80.4,6,1000,0.4774500962736256
2,34.8,8,2,0.26572470171042617
25,64.4,0,25,0.4799113675370236
10,53.2,7,10,0.36961374338931885
25,64.4,7,25,0.4799113675370236
10,53.2,0,10,0.36961374338931885
1000,81.2,1,1000,0.46673501078079627
25,64.4,9,25,0.4799113675370236
2,34.8,1,2,0.26572470171042617
20,62.4,3,20,0.48884534431426346
1000,82.0,8,1000,0.4746542410559666
2,34.8,6,2,0.26572470171042617
20,62.4,4,20,0.48884534431426346
10,53.2,9,10,0.36961374338931885
200,81.6,5,200,0.46868816229718496
75,74.8,5,75,0.4820471901679332
100,77.2,1,100,0.5080888585099113
100,80.0,6,100,0.5162211800404021
200,82.8,2,200,0.4766246052634122
75,76.8,2,75,0.48417625839601497
100,77.60000000000001,8,100,0.5076920920348829
500,82.0,9,500,0.4918231470971409
500,84.39999999999999,7,500,0.5084726307440885
500,83.6,0,500,0.5083219467581378
1,28.4,5,1,0.20176675944251027
1056,83.2,8,1056,0.5162436252599989
750,82.39999999999999,4,750,0.5183460755547022
750,81.6,3,750,0.5012064610350321
250,83.6,8,250,0.506188135628327
1,28.4,2,1,0.20176675944251027
250,83.6,6,250,0.5101822989864322
1056,82.8,1,1056,0.495791975950747
1056,82.8,6,1056,0.5165702173964469
250,84.0,1,250,0.5089719386829851
500,84.8,3,500,0.5197142904925188
500,83.2,4,500,0.5293277435237322
750,83.6,0,750,0.5070458807830726
1,28.4,1,1,0.20176675944251027
1,28.4,6,1,0.20176675944251027
750,83.6,7,750,0.5093420988326702
1,28.4,8,1,0.20176675944251027
1056,80.4,5,1056,0.49013968253968265
750,82.8,9,750,0.4922516994524971
250,82.39999999999999,2,250,0.49149557227850793
250,82.39999999999999,5,250,0.5038539045371055
1056,82.39999999999999,2,1056,0.4936432913981302
25,64.4,4,25,0.4799113675370236
10,53.2,3,10,0.36961374338931885
1000,83.2,2,1000,0.5042575124222184
1000,82.0,5,1000,0.4624853819893615
20,62.4,9,20,0.48884534431426346
25,64.4,3,25,0.4799113675370236
10,53.2,4,10,0.36961374338931885
2,34.8,5,2,0.26572470171042617
20,62.4,7,20,0.48884534431426346
2,34.8,2,2,0.26572470171042617
20,62.4,0,20,0.48884534431426346
100,78.0,5,100,0.5121533805252342
200,81.6,1,200,0.4697984176959044
75,76.0,1,75,0.47974368059482797
200,82.8,6,200,0.49024252337829205
75,74.0,6,75,0.47772550694919125
100,77.60000000000001,2,100,0.5132632973974014
200,81.6,8,200,0.4789888322363403
75,74.0,8,75,0.48430622941821155
250,81.2,4,250,0.4870086524997222
1056,82.39999999999999,3,1056,0.49577056697980965
1,28.4,9,1,0.20176675944251027
1056,81.6,4,1056,0.4856289576351178
250,83.6,3,250,0.5165240718877083
750,84.39999999999999,8,750,0.5249537881914447
1,28.4,7,1,0.20176675944251027
750,82.8,6,750,0.49193030995753373
750,82.39999999999999,1,750,0.4936937599371084
1,28.4,0,1,0.20176675944251027
500,83.6,5,500,0.4958406852128657
500,82.8,2,500,0.47976299036360964
200,81.6,9,200,0.47221494518918933
75,74.4,9,75,0.484799650641756
200,82.8,7,200,0.49073831978647214
75,76.0,7,75,0.49128806865648983
100,76.0,3,100,0.506105053476907
100,78.8,4,100,0.5144018505860611
200,82.39999999999999,0,200,0.48700127361022444
75,73.6,0,75,0.4742975888920162
2,34.8,3,2,0.26572470171042617
20,62.4,1,20,0.48884534431426346
2,34.8,4,2,0.26572470171042617
20,62.4,6,20,0.48884534431426346
1000,82.0,4,1000,0.4967539451282766
20,62.4,8,20,0.48884534431426346
25,64.4,2,25,0.4799113675370236
10,53.2,5,10,0.36961374338931885
25,64.4,5,25,0.4799113675370236
10,53.2,2,10,0.36961374338931885
1000,82.39999999999999,3,1000,0.48691173811645994
