n_shots,accuracy,run_num,nspw,f1
1,4.8,2,1,0.039501315695896454
1,2.4,5,1,0.012098027495517036
2,8.799999999999999,4,2,0.04586081871345029
2,8.799999999999999,3,2,0.016305010893246187
100,68.0,7,100,0.3565523143523144
200,70.0,3,200,0.3290876189280975
200,65.60000000000001,4,200,0.26264074932780523
100,57.99999999999999,0,100,0.2498954857123534
50,60.0,2,50,0.2331470216514465
5,15.2,5,5,0.04806318670536261
5,17.599999999999998,2,5,0.026141702141702135
100,61.6,9,100,0.3132577979824912
50,55.60000000000001,5,50,0.3101411583799414
1000,77.60000000000001,2,1000,0.41116766612734357
500,72.0,8,500,0.3458347353745299
1000,77.60000000000001,5,1000,0.406691616356959
75,61.199999999999996,8,75,0.19515452704151234
500,75.2,1,500,0.41208505777407695
75,54.800000000000004,6,75,0.21946619859692099
75,59.199999999999996,1,75,0.16013992172765218
500,69.19999999999999,6,500,0.3312224980082123
20,49.2,0,20,0.08626410928308463
750,73.2,2,750,0.3493624806601038
250,72.8,9,250,0.3535050366617765
1056,74.0,0,1056,0.36475662220993293
1056,77.2,7,1056,0.4088904439733709
20,32.0,7,20,0.18111255250385686
750,74.4,5,750,0.3755014064993976
1056,76.0,9,1056,0.3935289453976307
10,46.800000000000004,4,10,0.18540251302919966
25,36.4,3,25,0.1364726706792599
20,39.6,9,20,0.191409329328088
250,74.0,0,250,0.341918926477811
250,74.8,7,250,0.35134283501903646
10,20.0,3,10,0.08709929345518214
25,45.6,4,25,0.1719966500138694
5,15.6,3,5,0.031515354874812405
100,63.6,8,100,0.22599119039002763
50,48.8,4,50,0.18205275492116854
50,54.0,3,50,0.20281077527213234
5,27.200000000000003,4,5,0.16718956611160507
200,75.2,5,200,0.3872722614961106
100,67.2,1,100,0.26627970856374256
100,60.0,6,100,0.2455436532532721
200,67.60000000000001,2,200,0.31231708657337287
2,10.0,2,2,0.01396243701328447
2,8.799999999999999,5,2,0.022954093393927417
1,9.6,4,1,0.060620861518344345
1,1.6,3,1,0.0006722689075630253
250,66.4,6,250,0.3098264189713635
10,29.599999999999998,2,10,0.08674540927482104
25,47.199999999999996,5,25,0.2779068323729619
1056,69.19999999999999,8,1056,0.2658315330073027
10,31.2,5,10,0.10607898212331017
25,51.6,2,25,0.1379717220221422
20,49.6,8,20,0.14092923655725462
250,74.0,1,250,0.38427175698728255
1056,75.6,6,1056,0.3818894738894739
20,37.6,6,20,0.17069247661345027
750,70.8,4,750,0.3482327103313564
20,48.0,1,20,0.10495839535860149
250,66.8,8,250,0.2746945489735582
750,74.4,3,750,0.35834941529486986
