n_shots,accuracy,run_num,nspw,f1
250,88.4,5,250,0.8610195703848954
1750,94.8,9,1750,0.9395162613082606
2,31.2,1,2,0.22194040184950323
2,27.200000000000003,6,2,0.21206401270291977
250,88.8,2,250,0.8597149822490062
750,93.2,9,750,0.9235337513350067
2,36.8,8,2,0.32003014758432713
750,95.6,7,750,0.9535293938585448
1750,96.8,0,1750,0.9590265882556586
750,93.60000000000001,0,750,0.9174119821300853
1750,95.19999999999999,7,1750,0.9415151669795634
50,60.0,7,50,0.48059949001928604
5,40.400000000000006,0,5,0.36199378222790124
500,96.0,4,500,0.9471794072800265
500,92.4,3,500,0.9037351107784545
1000,92.80000000000001,8,1000,0.9181741158588647
50,64.0,0,50,0.5717656190362724
5,37.6,7,5,0.3181141184237159
1000,94.8,6,1000,0.9395098404121542
5,40.400000000000006,9,5,0.3462957737092086
50,59.599999999999994,9,50,0.5512541769243526
1000,93.2,1,1000,0.9197187711655372
75,70.39999999999999,3,75,0.6473138135921256
75,71.2,4,75,0.6738998651846949
200,89.60000000000001,8,200,0.8778511188809381
200,87.6,6,200,0.8602679045353027
100,72.39999999999999,2,100,0.6231682149118264
100,84.39999999999999,5,100,0.8087666805159065
200,79.60000000000001,1,200,0.7559187587438362
10,34.0,1,10,0.27418314699389695
25,57.599999999999994,6,25,0.49578635132081306
10,40.400000000000006,6,10,0.351142164300059
25,46.400000000000006,1,25,0.39439409591385716
20,56.8,5,20,0.4554255918410265
10,36.0,8,10,0.2893392505041112
1,15.6,4,1,0.13145236686258358
1,34.4,3,1,0.2570876735730673
25,48.4,8,25,0.4153000993258658
20,48.0,2,20,0.41116378349138427
50,52.800000000000004,8,50,0.4725510296110541
1000,96.0,0,1000,0.9538636571185048
1000,95.19999999999999,7,1000,0.9494225127433535
5,39.2,8,5,0.31948841581658227
500,95.19999999999999,2,500,0.9426252522846951
1000,95.6,9,1000,0.9556949656448598
50,47.199999999999996,1,50,0.3858793800298134
5,32.4,6,5,0.2730393337041537
50,62.8,6,50,0.5603813311409549
5,34.4,1,5,0.26120096360394435
500,92.0,5,500,0.9009675078601264
750,93.60000000000001,1,750,0.9237641529437197
1750,94.8,6,1750,0.9415913576945025
2,31.2,9,2,0.21395873439637741
750,94.0,6,750,0.936022962194757
1750,96.8,1,1750,0.9609809308338719
2,17.599999999999998,7,2,0.15978267590109696
750,92.80000000000001,8,750,0.9158236796516902
250,92.80000000000001,3,250,0.908255932369913
250,92.4,4,250,0.9057678760505873
1750,97.2,8,1750,0.9632859484706975
2,18.8,0,2,0.14400023735611156
1,32.0,2,1,0.2596815525951078
25,58.4,9,25,0.5141777813734796
20,54.0,3,20,0.47159209302275956
20,49.6,4,20,0.43897807127412175
10,47.199999999999996,9,10,0.41621216477153433
1,28.000000000000004,5,1,0.19603727695235953
10,38.800000000000004,7,10,0.32219445733696433
25,53.2,0,25,0.4887296363236137
10,46.400000000000006,0,10,0.3920309204853771
25,48.0,7,25,0.3973171801538675
100,77.2,4,100,0.7445579894007466
200,84.39999999999999,0,200,0.7963880980334458
200,87.6,7,200,0.8647924701717272
100,80.80000000000001,3,100,0.7625991691577483
75,73.2,5,75,0.6857167828550427
200,87.6,9,200,0.8572523278085938
75,65.2,2,75,0.5588098382827077
20,44.4,7,20,0.360163652119262
1,28.4,6,1,0.22866989889150552
1,15.6,1,1,0.10276282137568987
20,51.6,0,20,0.45748448717165874
10,44.0,3,10,0.3737372933831869
25,53.2,4,25,0.48980902292536643
20,56.00000000000001,9,20,0.47798789833720506
10,41.6,4,10,0.35399976124984267
1,12.8,8,1,0.11207509620733758
25,54.800000000000004,3,25,0.5069613111753206
75,61.199999999999996,8,75,0.5850081340997099
200,90.4,4,200,0.8870733265191151
100,74.8,0,100,0.6906582852810652
100,74.4,7,100,0.6770479654952667
200,90.8,3,200,0.8916026364054717
100,71.6,9,100,0.6834505207464309
75,63.6,1,75,0.5413207022279045
75,66.8,6,75,0.6135421551556046
1000,96.8,4,1000,0.9621993058179306
500,92.4,8,500,0.9101670044781501
1000,93.2,3,1000,0.9216918100819029
50,66.0,5,50,0.5764818042039245
5,43.6,2,5,0.37454889526500773
500,95.6,6,500,0.9458983525933989
500,93.2,1,500,0.9206651444082457
50,56.8,2,50,0.49042947784112173
5,37.6,5,5,0.3194858624025058
1750,95.6,2,1750,0.9496340932527181
750,93.60000000000001,5,750,0.9205045239915698
1750,94.8,5,1750,0.9432831858182193
750,95.6,2,750,0.9506550751947527
250,90.4,9,250,0.8887311862544061
250,89.60000000000001,7,250,0.8770128306506016
2,38.0,3,2,0.3290062554770106
