,outputs,label_tokens,true_numeric_labels,true_label_present_in_prompt,correct,predicted_label_present_in_prompt,prompt_labels,prompt_example_indices,id,n_shots,run_number,unlimiformer
1104,transfer not received by recipient,benef,7,False,False,False,{13: 1},[3560],1104,1,0,False
471,card linking,top up limits,60,False,False,True,{13: 1},[3560],471,1,0,False
1345,exchange rate,exchange charge,31,False,False,False,{13: 1},[3560],1345,1,0,False
835,lost or stolen phone,lost or stolen phone,42,False,True,False,{13: 1},[3560],835,1,0,False
940,card linking,transaction,63,False,False,True,{13: 1},[3560],940,1,0,False
707,card linking,unable,68,False,False,True,{13: 1},[3560],707,1,0,False
378,card linking,contact,23,False,False,True,{13: 1},[3560],378,1,0,False
1259,card linking,top up failed,59,False,False,True,{13: 1},[3560],1259,1,0,False
450,card linking,top up limits,60,False,False,True,{13: 1},[3560],450,1,0,False
1467,card linking,card about,9,False,False,True,{13: 1},[3560],1467,1,0,False
652,card linking,card payment not,16,False,False,True,{13: 1},[3560],652,1,0,False
771,card not working,comprom,22,False,False,False,{13: 1},[3560],771,1,0,False
1112,transfer not received by recipient,benef,7,False,False,False,{13: 1},[3560],1112,1,0,False
659,card linking,card payment not,16,False,False,True,{13: 1},[3560],659,1,0,False
67,exchange rate,exchange rate,32,False,True,False,{13: 1},[3560],67,1,0,False
770,card linking,comprom,22,False,False,True,{13: 1},[3560],770,1,0,False
679,card linking,card payment not,16,False,False,True,{13: 1},[3560],679,1,0,False
955,card linking,transaction,63,False,False,True,{13: 1},[3560],955,1,0,False
918,card linking,terminate,55,False,False,True,{13: 1},[3560],918,1,0,False
1222,card linking,get dispos,37,False,False,True,{13: 1},[3560],1222,1,0,False
604,card linking,card accept,10,False,False,True,{13: 1},[3560],604,1,0,False
240,exchange rate,exchange via,33,False,False,False,{13: 1},[3560],240,1,0,False
1069,card payment not recognised,revert,53,False,False,False,{13: 1},[3560],1069,1,0,False
1229,card linking,get dispos,37,False,False,True,{13: 1},[3560],1229,1,0,False
