n_shots,accuracy,run_num,nspw,f1
2,83.6,9,2,0.7944283710517471
1500,93.2,9,1500,0.887094507224377
2,83.6,7,2,0.7944283710517471
500,94.0,2,500,0.893794949639105
1500,93.2,7,1500,0.887094507224377
2,83.6,0,2,0.7944283710517471
500,94.0,5,500,0.893794949639105
1500,93.2,0,1500,0.887094507224377
10,89.2,3,10,0.8606113943776277
25,92.0,4,25,0.8918290944264967
10,89.2,4,10,0.8606113943776277
25,92.0,3,25,0.8918290944264967
5,88.4,8,5,0.8492836888940782
20,90.8,9,20,0.8864826371319876
250,92.4,3,250,0.8796646355087909
5,88.4,6,5,0.8492836888940782
20,90.8,7,20,0.8864826371319876
20,90.8,0,20,0.8864826371319876
250,92.4,4,250,0.8796646355087909
5,88.4,1,5,0.8492836888940782
1,20.0,3,1,0.16730217070201528
50,93.2,5,50,0.8726145427444124
1,80.80000000000001,4,1,0.7438312048701654
50,93.2,2,50,0.8726145427444124
20,36.8,1,20,0.321820459482797
250,92.4,5,250,0.8796646355087909
5,88.4,0,5,0.8492836888940782
250,92.4,2,250,0.8796646355087909
5,88.4,7,5,0.8492836888940782
20,90.8,6,20,0.8864826371319876
10,89.2,5,10,0.8606113943776277
25,92.0,2,25,0.8918290944264967
5,88.4,9,5,0.8492836888940782
20,90.8,8,20,0.8864826371319876
10,89.2,2,10,0.8606113943776277
25,92.0,5,25,0.8918290944264967
2,83.6,1,2,0.7944283710517471
1500,92.80000000000001,1,1500,0.883198403328273
500,94.0,4,500,0.893794949639105
2,83.6,6,2,0.7944283710517471
1500,92.4,6,1500,0.8796630497929195
500,94.0,3,500,0.893794949639105
2,83.6,8,2,0.7944283710517471
1500,93.2,8,1500,0.887094507224377
1,80.80000000000001,5,1,0.7438312048701654
50,93.2,3,50,0.8726145427444124
1,80.80000000000001,2,1,0.7438312048701654
50,93.2,4,50,0.8726145427444124
1,80.80000000000001,8,1,0.7438312048701654
50,93.2,9,50,0.8726145427444124
1,80.80000000000001,1,1,0.7438312048701654
50,93.2,7,50,0.8726145427444124
1,80.80000000000001,6,1,0.7438312048701654
50,93.2,0,50,0.8726145427444124
10,89.2,8,10,0.8606113943776277
250,92.4,1,250,0.8796646355087909
5,88.4,4,5,0.8492836888940782
20,90.8,5,20,0.8864826371319876
20,90.8,2,20,0.8864826371319876
250,92.4,6,250,0.8796646355087909
25,92.0,8,25,0.8918290944264967
5,88.4,3,5,0.8492836888940782
10,89.2,1,10,0.8606113943776277
250,92.4,8,250,0.8796646355087909
25,92.0,6,25,0.8918290944264967
10,89.2,6,10,0.8606113943776277
25,92.0,1,25,0.8918290944264967
2,83.6,5,2,0.7944283710517471
500,94.0,0,500,0.893794949639105
1500,92.4,5,1500,0.879926350705571
2,83.6,2,2,0.7944283710517471
500,94.0,7,500,0.893794949639105
1500,93.2,2,1500,0.887094507224377
500,94.0,9,500,0.893794949639105
1,80.80000000000001,7,1,0.7438312048701654
50,93.2,1,50,0.8726145427444124
1,80.80000000000001,0,1,0.7438312048701654
50,93.2,6,50,0.8726145427444124
50,93.2,8,50,0.8726145427444124
1,80.80000000000001,9,1,0.7438312048701654
500,94.0,8,500,0.893794949639105
2,25.6,3,2,0.20046240677598492
1500,93.2,3,1500,0.887094507224377
500,94.0,6,500,0.893794949639105
2,83.6,4,2,0.7944283710517471
1500,92.80000000000001,4,1500,0.8838224546016751
500,94.0,1,500,0.893794949639105
10,89.2,7,10,0.8606113943776277
25,92.0,0,25,0.8918290944264967
10,89.2,0,10,0.8606113943776277
250,92.4,9,250,0.8796646355087909
25,92.0,7,25,0.8918290944264967
20,90.8,3,20,0.8864826371319876
250,92.4,7,250,0.8796646355087909
25,92.0,9,25,0.8918290944264967
5,88.4,2,5,0.8492836888940782
10,89.2,9,10,0.8606113943776277
250,92.4,0,250,0.8796646355087909
5,88.4,5,5,0.8492836888940782
20,90.8,4,20,0.8864826371319876
