n_shots,accuracy,run_num,nspw,f1
100,75.6,6,100,0.6387243272410735
200,89.60000000000001,2,200,0.7948733085096719
50,52.800000000000004,3,50,0.41271005519125836
200,89.2,5,200,0.8311765854667222
50,55.2,4,50,0.4006662881300009
100,73.6,1,100,0.6255019151123044
100,67.60000000000001,8,100,0.5901608450118762
75,66.0,7,75,0.5119349519846081
2,29.2,2,2,0.2358270896272987
75,65.2,0,75,0.5095316299861752
2,7.6,5,2,0.057532889188733345
1,27.200000000000003,3,1,0.25687842724417653
75,71.2,9,75,0.6141871836677029
1,21.6,4,1,0.19302447265697634
20,32.800000000000004,8,20,0.25221506508460867
5,39.2,3,5,0.351525441556786
25,38.4,2,25,0.29471170651294876
10,27.200000000000003,5,10,0.2328743152272564
5,27.200000000000003,4,5,0.23319721020513487
25,36.0,5,25,0.3113788049878276
10,33.2,2,10,0.26450350586694116
20,42.4,1,20,0.33266961513714766
20,38.800000000000004,6,20,0.29706218961248826
100,76.4,9,100,0.6742442092327496
200,91.2,4,200,0.8392921538854549
50,53.6,5,50,0.42929881297719347
100,75.6,0,100,0.6339330582837074
100,74.8,7,100,0.6301731945162045
200,93.60000000000001,3,200,0.8348226003688186
50,49.2,2,50,0.3484985584780526
20,35.6,7,20,0.33653688679098054
20,42.8,0,20,0.30909409465679166
25,35.6,4,25,0.2753188379555433
5,28.4,5,5,0.2269471605835242
10,38.4,3,10,0.3197254384243117
20,43.2,9,20,0.3746840722213647
25,48.0,3,25,0.3883843714932132
5,30.0,2,5,0.24254464871347992
10,32.0,4,10,0.27115626034266216
75,62.0,8,75,0.5106133765224674
1,16.8,5,1,0.13888379364346698
1,22.400000000000002,2,1,0.18249298608103465
75,64.4,1,75,0.5155779029888791
2,19.2,4,2,0.18251381491962593
75,66.8,6,75,0.5352189848179152
2,34.4,3,2,0.30133302734122974
25,38.0,9,25,0.29707875844738324
5,30.4,8,5,0.2489215211988827
20,42.4,3,20,0.3426877017745902
20,32.800000000000004,4,20,0.23594812160154144
10,38.800000000000004,9,10,0.32187002158354333
5,36.4,1,5,0.29167284346810707
25,46.400000000000006,0,25,0.3280999493405508
10,30.8,7,10,0.26346283617881583
5,30.8,6,5,0.23407588536141527
25,38.0,7,25,0.35826299617942764
10,33.2,0,10,0.24521215584511874
1,26.8,1,1,0.20038084463633338
2,25.2,9,2,0.20873622853087057
1,27.6,6,1,0.23093147520024987
75,66.4,5,75,0.5382269330703249
2,27.200000000000003,0,2,0.21198740992476672
1,26.0,8,1,0.2198884668252258
75,59.199999999999996,2,75,0.43749980178551606
2,30.4,7,2,0.267204016458972
200,93.2,9,200,0.8799079708170614
50,56.00000000000001,8,50,0.4608726050284491
100,68.4,4,100,0.5497136954862296
200,91.60000000000001,0,200,0.802920528245203
50,54.800000000000004,1,50,0.403857881348249
200,90.8,7,200,0.8536801709452586
50,57.99999999999999,6,50,0.4280945398313015
100,76.4,3,100,0.6258552200170949
75,70.39999999999999,3,75,0.5473931401226241
2,29.599999999999998,6,2,0.24575325362185554
75,60.8,4,75,0.45757939751446225
2,30.0,1,2,0.23207600595622796
1,19.2,9,1,0.1340749129246346
1,10.0,7,1,0.0914540361599185
1,21.6,0,1,0.16203591194343478
2,34.0,8,2,0.27318987989347043
25,46.0,6,25,0.3560616610053443
5,33.6,7,5,0.2882601521367553
10,39.6,1,10,0.32604981819254364
25,45.2,1,25,0.33615568969917414
5,33.2,0,5,0.24655056325528418
10,36.0,6,10,0.26177759853533894
20,38.0,5,20,0.33680506319925724
10,31.2,8,10,0.2468092521540798
5,34.4,9,5,0.2661446474843604
25,44.0,8,25,0.3556966757883488
20,36.8,2,20,0.2740944633703203
200,92.80000000000001,6,200,0.8434132606210527
50,56.00000000000001,7,50,0.42265825684964103
100,69.6,2,100,0.5164976600460471
100,76.0,5,100,0.617486670558521
200,92.4,1,200,0.8576672754289253
50,55.2,0,50,0.41741081259797835
200,91.60000000000001,8,200,0.8579101994686404
50,56.39999999999999,9,50,0.46326676421787183
