n_shots,accuracy,run_num,nspw,f1
2,21.6,6,2,0.20089619691465216
2,28.799999999999997,1,2,0.2639609596752454
500,82.8,3,500,0.7884100747737107
500,83.6,4,500,0.7726115515076551
2,12.0,8,2,0.09102153257997414
5,30.4,7,5,0.24450416106260262
1,26.400000000000002,1,1,0.20622485696970036
750,84.0,0,750,0.7828922943547444
50,46.0,9,50,0.38950497209672813
750,88.8,7,750,0.8386611945053501
5,34.4,0,5,0.29352638321698665
1,28.000000000000004,6,1,0.23068093019769245
50,44.0,7,50,0.3474789852368156
750,88.0,9,750,0.8406248873781338
250,77.2,2,250,0.7124349334875646
1,20.4,8,1,0.1582588200706179
5,28.799999999999997,9,5,0.22909686866906118
50,45.2,0,50,0.38203315443575186
250,80.4,5,250,0.7576618187007792
1750,88.4,5,1750,0.826372761437696
75,50.0,3,75,0.43018757232478294
75,47.599999999999994,4,75,0.37561963744465454
1750,88.0,2,1750,0.8089449511527428
20,36.4,5,20,0.29215641751526916
200,70.0,1,200,0.6300302871731441
1500,90.8,1,1500,0.8733774162345589
10,32.4,8,10,0.2724628982318661
100,62.8,5,100,0.5347196814729283
100,64.4,2,100,0.5501999719150215
25,41.199999999999996,8,25,0.3505467495214589
20,38.0,2,20,0.2940651829043758
200,73.6,6,200,0.6723384119488014
1500,88.0,6,1500,0.8316229946100072
10,36.4,1,10,0.32841628513404547
25,28.000000000000004,6,25,0.26073531541747536
200,68.0,8,200,0.60838306904609
1500,87.6,8,1500,0.8287070072784354
10,28.799999999999997,6,10,0.21323500301627438
25,41.6,1,25,0.36185623255001237
5,27.6,8,5,0.2421942291176505
50,48.4,1,50,0.37825417728015137
250,74.0,4,250,0.6788028370916069
50,36.0,6,50,0.30509053788254464
250,76.4,3,250,0.7238391858009078
750,85.2,8,750,0.8127203244086357
1,22.8,9,1,0.18684764801142703
50,47.199999999999996,8,50,0.40793258916977304
750,86.4,6,750,0.8137291280148419
5,33.6,1,5,0.30106246799795183
1,18.4,7,1,0.16324421167188946
5,38.800000000000004,6,5,0.32596658899783004
1,18.8,0,1,0.15097991410025993
750,84.0,1,750,0.7879306840345797
500,84.39999999999999,5,500,0.7899766178986953
2,33.6,9,2,0.2824199211588138
500,82.0,2,500,0.7667116433350197
2,30.8,0,2,0.270203930930536
2,30.0,7,2,0.24976261361085095
10,34.0,7,10,0.2737613396704306
25,39.2,0,25,0.31012961658492605
10,37.6,0,10,0.32044842451541017
25,38.4,7,25,0.3310000700294617
200,72.8,9,200,0.6814044901707236
1500,87.6,9,1500,0.816090114791413
100,58.4,3,100,0.52446878707986
25,38.4,9,25,0.2997329870706493
20,39.2,3,20,0.3345901736075029
200,73.6,7,200,0.6514698144568272
1500,88.8,7,1500,0.8224540250514272
20,38.0,4,20,0.32120608362014014
200,74.0,0,200,0.6800505335023443
1500,90.4,0,1500,0.8483357191149393
10,34.0,9,10,0.2620942208091901
100,54.0,4,100,0.477107597878515
75,56.39999999999999,5,75,0.4874719966392999
1750,86.0,3,1750,0.8197435320811938
1750,90.0,4,1750,0.8328899815912799
75,55.60000000000001,2,75,0.4763086620088752
10,40.400000000000006,3,10,0.3406187219202376
25,37.6,4,25,0.3183362177250641
20,39.6,9,20,0.30996030426089527
10,35.199999999999996,4,10,0.3152752809020454
25,39.6,3,25,0.33115745980528255
100,54.0,9,100,0.4767783446406882
20,36.4,7,20,0.3056969725800895
200,72.39999999999999,3,200,0.6571483350704127
1500,86.4,3,1500,0.8285028823989858
100,54.0,7,100,0.460333746150561
100,59.199999999999996,0,100,0.5026266662630299
20,35.6,0,20,0.30067408635017495
200,66.4,4,200,0.6097004642077214
1500,88.8,4,1500,0.819732432070094
1750,90.8,7,1750,0.8454900078276696
75,56.8,1,75,0.48728381159626377
75,44.0,6,75,0.3986320905493837
1750,88.8,0,1750,0.8234130227636717
75,54.400000000000006,8,75,0.46395710312320015
1750,91.60000000000001,9,1750,0.8733082213601692
50,50.0,5,50,0.4353553373033892
250,76.4,0,250,0.7060389105843647
50,49.2,2,50,0.438468321714874
250,73.6,7,250,0.6747510786471823
1,30.0,3,1,0.2703135548040363
5,26.0,5,5,0.20373372277497565
250,80.0,9,250,0.7553420266178091
750,84.8,2,750,0.7758539440357617
750,86.0,5,750,0.8114209023299929
1,18.0,4,1,0.1442691955007226
5,33.2,2,5,0.28151163979940463
500,82.0,1,500,0.762146367341172
500,79.60000000000001,6,500,0.7321895997220668
500,84.8,8,500,0.786109417278248
2,26.8,4,2,0.21594269769292423
2,24.8,3,2,0.20659278478123727
1750,88.8,8,1750,0.8462797664096362
75,52.800000000000004,9,75,0.4664096744752931
75,48.0,7,75,0.3653094076880817
1750,89.60000000000001,1,1750,0.8619055547626974
1750,87.6,6,1750,0.8192862692862689
75,50.0,0,75,0.43528092313424627
100,67.2,1,100,0.5712996768955516
20,38.800000000000004,1,20,0.3350881519893622
200,74.0,5,200,0.695725847024548
1500,88.0,5,1500,0.8217456425248629
20,22.8,6,20,0.20903450047332478
200,72.8,2,200,0.6709406034081358
1500,86.4,2,1500,0.7932588335185734
100,53.2,6,100,0.4700518980302664
20,36.0,8,20,0.2929540371378081
10,34.8,5,10,0.2553863353931707
25,38.800000000000004,2,25,0.309745491085204
100,57.99999999999999,8,100,0.4748505462791177
10,35.6,2,10,0.29135089933409253
25,38.4,5,25,0.32559018521585364
2,18.0,2,2,0.14772748367722313
500,81.6,9,500,0.7689355377667064
2,29.599999999999998,5,2,0.2463318639598242
500,85.2,7,500,0.7976710879308276
500,82.0,0,500,0.7723594947620916
750,86.4,4,750,0.7862960272051177
1,26.0,5,1,0.22672799790499537
5,38.4,3,5,0.34283970946650366
1,23.599999999999998,2,1,0.19106667375585717
5,36.0,4,5,0.2860920938024269
750,86.0,3,750,0.8035163249448959
250,78.4,8,250,0.7301735782255262
50,42.0,3,50,0.37107783566912683
250,73.6,6,250,0.661496223833886
50,36.4,4,50,0.2895242780307716
250,74.0,1,250,0.6757070490836721
