n_shots,accuracy,run_num,nspw,f1
1,30.8,5,1,0.36292851712206553
2,38.4,5,2,0.4612912440216787
2,37.6,2,2,0.3087888599467547
1,37.6,2,1,0.08738461538461538
500,89.2,3,500,0.8527724674033393
75,72.8,4,75,0.6303070000791516
500,84.0,4,500,0.8039281549525449
75,48.4,3,75,0.5655348347033738
5,38.800000000000004,4,5,0.434563903932325
20,62.0,2,20,0.4327562895580517
25,47.599999999999994,8,25,0.5859881591566983
750,92.4,0,750,0.8697960262868237
10,44.800000000000004,8,10,0.5025829682300269
750,89.2,7,750,0.8460828772904241
5,38.0,3,5,0.4406886002886003
20,46.800000000000004,5,20,0.5425110445110445
25,51.2,1,25,0.6119490871176264
10,44.4,6,10,0.5208269151719251
250,84.0,2,250,0.7927988053290376
750,94.0,9,750,0.8890585659551175
25,43.6,6,25,0.5006144420881262
10,45.6,1,10,0.5338380870066263
250,88.0,5,250,0.816335738335738
1000,92.0,6,1000,0.8612264443375554
1000,89.60000000000001,1,1000,0.8434122174122171
1000,91.2,8,1000,0.8823222703222701
200,76.8,1,200,0.7224400168744429
100,69.6,5,100,0.6751883306040607
1750,92.4,0,1750,0.870789719137545
50,68.0,9,50,0.61406364006364
100,75.2,2,100,0.6768619528619526
1750,93.2,7,1750,0.8921153332264441
200,83.6,6,200,0.7545955351837701
1750,94.39999999999999,9,1750,0.8942211083263713
50,50.8,0,50,0.5495755177888073
200,79.60000000000001,8,200,0.7621777777777774
50,49.6,7,50,0.6005677161296855
25,46.0,7,25,0.5233528693528694
10,42.8,0,10,0.5043975777309111
250,83.2,4,250,0.7869172062505393
25,45.6,0,25,0.574526657695197
10,47.199999999999996,7,10,0.5513451044485526
750,92.4,8,750,0.8845135451550542
250,86.4,3,250,0.8273104362417336
10,42.4,9,10,0.5109301222404671
750,94.0,6,750,0.8997748622656597
5,40.400000000000006,2,5,0.42692596802941635
20,44.800000000000004,4,20,0.5167353039117744
5,43.6,5,5,0.48791290191290176
20,42.4,3,20,0.4904061864061863
25,46.0,9,25,0.5785416065416066
750,91.2,1,750,0.8824793724793721
500,92.80000000000001,5,500,0.8863058094169202
75,77.2,2,75,0.6585070485070483
500,89.60000000000001,2,500,0.8496767676767674
75,67.60000000000001,5,75,0.6590930925088226
2,34.0,3,2,0.39513258257588146
1,19.6,3,1,0.24089688212907462
1,26.400000000000002,4,1,0.3322878695615269
2,22.0,4,2,0.2935385536894971
50,44.800000000000004,6,50,0.49964883181737124
1750,92.4,8,1750,0.8735304598782858
50,56.8,1,50,0.6147752700374058
200,78.8,9,200,0.7544800026735508
100,51.2,3,100,0.6079104269473873
1750,95.19999999999999,6,1750,0.9093349236933053
200,84.0,7,200,0.7791795829442886
200,82.0,0,200,0.798626237959571
100,75.2,4,100,0.6859981141916625
1750,91.2,1,1750,0.8602296777296775
50,49.6,8,50,0.5943582335267728
1000,92.0,9,1000,0.8793745924857035
1000,94.0,0,1000,0.9068859733767708
1000,92.0,7,1000,0.8768225396249346
50,74.0,2,50,0.5739483726150391
100,70.39999999999999,9,100,0.6397072017072015
50,55.60000000000001,5,50,0.612170726876609
200,80.80000000000001,3,200,0.7873888679758241
1750,92.80000000000001,2,1750,0.8663163914275022
100,52.400000000000006,7,100,0.6587787019472412
1750,93.2,5,1750,0.8941796432231214
100,69.6,0,100,0.5849213308362244
200,79.60000000000001,4,200,0.7793159984931531
1000,92.4,4,1000,0.8689004560811787
1000,91.2,3,1000,0.8651142931142928
25,42.8,3,25,0.5217452177452176
10,40.400000000000006,4,10,0.48200179131213605
250,88.0,0,250,0.8251110371110367
20,42.0,9,20,0.515689581373792
5,44.0,8,5,0.5288061568061567
25,45.6,4,25,0.5181245683826328
10,40.0,3,10,0.46510260110260104
250,85.2,7,250,0.7851656079808373
5,42.8,6,5,0.5173923572977387
20,44.4,0,20,0.5556191207876601
750,92.0,2,750,0.8994826473501968
250,82.39999999999999,9,250,0.7856228956228954
750,94.0,5,750,0.8966137566137562
5,44.800000000000004,1,5,0.5204995004995004
20,46.400000000000006,7,20,0.5179152699152699
500,85.2,1,500,0.8318133718133716
75,48.4,6,75,0.562450585619125
500,94.0,6,500,0.9172264443375552
75,54.0,1,75,0.6067284170583137
1,29.2,9,1,0.34360123454241104
2,24.4,9,2,0.3573715549237938
500,90.8,8,500,0.8764166996014126
1,35.199999999999996,7,1,0.3931396011396013
2,40.400000000000006,7,2,0.46675990675990675
2,40.8,0,2,0.4583303733303733
75,51.2,8,75,0.624334428871389
1,34.0,0,1,0.40644746787603936
1000,92.4,2,1000,0.8842303901549182
1000,93.60000000000001,5,1000,0.8858661686896979
1750,91.60000000000001,4,1750,0.8793324190743541
100,72.8,1,100,0.6501991907874259
200,80.4,5,200,0.7409615164505674
200,81.6,2,200,0.7745645618749065
1750,92.80000000000001,3,1750,0.8854486665597775
100,59.199999999999996,6,100,0.6263771529506683
100,51.6,8,100,0.6688674280359671
50,71.2,4,50,0.5983866799011307
50,46.0,3,50,0.5577052950673828
2,36.0,1,2,0.4187311677820601
75,71.6,9,75,0.6404050917154364
1,22.8,1,1,0.2844341035865724
