n_shots,accuracy,run_num,nspw,f1
75,85.6,9,75,0.6446619605560002
2500,94.0,1,2500,0.6833569851781772
2500,94.8,6,2500,0.6887932559552653
2000,92.0,3,2000,0.6761140625379037
2500,93.2,8,2500,0.678986649847577
75,85.2,0,75,0.6407659255755284
75,86.0,7,75,0.6439178922622631
2000,94.0,4,2000,0.6807900300174033
1000,88.8,2,1000,0.6621152290458368
1500,92.4,9,1500,0.6729131795356962
1000,90.4,5,1000,0.6720172395669084
100,85.6,8,100,0.6384178735172114
1,66.8,2,1,0.5086955617703015
200,87.2,2,200,0.6523756964154316
1500,92.4,0,1500,0.6702918494309223
100,85.2,6,100,0.6375821749993936
1500,93.2,7,1500,0.6781772311573636
100,85.6,1,100,0.6411772554156661
1,66.8,5,1,0.5086955617703015
200,89.60000000000001,5,200,0.6598518436072002
500,89.2,0,500,0.6656760314261035
500,88.8,7,500,0.6620361610427836
500,89.2,9,500,0.6631374658182243
2,70.8,3,2,0.5228692468049138
2,70.8,4,2,0.5228692468049138
250,89.2,1,250,0.6632134973194577
250,89.60000000000001,6,250,0.6648273072546036
5,76.0,2,5,0.5815001775266675
50,84.39999999999999,4,50,0.6296489015032063
250,88.4,8,250,0.6617489379857905
750,89.60000000000001,3,750,0.6649627714780221
750,88.8,4,750,0.6582308420056766
5,76.0,5,5,0.5815001775266675
50,84.8,3,50,0.6320482497634817
100,86.0,0,100,0.6400634010646862
1500,93.2,6,1500,0.6784949842121442
1,66.8,4,1,0.5086955617703015
200,88.8,4,200,0.6561231998318092
1,66.4,3,1,0.5031767979733921
200,89.2,3,200,0.6587109899147299
100,85.6,7,100,0.6389983085347325
1500,91.60000000000001,1,1500,0.6699549123390184
1000,92.0,4,1000,0.6734396174793527
100,85.6,9,100,0.6370588572575329
1000,90.4,3,1000,0.6696835908756439
1500,92.4,8,1500,0.6777066200907261
75,86.0,6,75,0.644359393366016
2000,92.4,5,2000,0.6758144417965023
2000,93.2,2,2000,0.6812125512456639
2500,94.0,9,2500,0.6893251340271208
75,85.6,1,75,0.6441388139717685
2500,93.2,7,2500,0.6784261244106998
75,85.6,8,75,0.6437789583484949
2500,93.60000000000001,0,2500,0.6825946373184197
750,89.60000000000001,5,750,0.6641280353200885
5,76.0,4,5,0.5798445483875946
50,84.0,2,50,0.6299642594344583
5,76.0,3,5,0.5813424985610415
50,84.39999999999999,5,50,0.6314149059182174
750,89.2,2,750,0.6624463548736512
250,89.2,9,250,0.6654757267145269
250,89.60000000000001,7,250,0.6658679884277351
250,88.4,0,250,0.6598725582948411
2,70.8,5,2,0.5228692468049138
500,89.2,8,500,0.660327972248502
2,70.8,2,2,0.5228692468049138
500,89.60000000000001,6,500,0.6632558330417353
500,89.60000000000001,1,500,0.6637432986439611
5,76.0,0,5,0.5798445483875946
50,84.0,6,50,0.6306034526607056
750,88.0,1,750,0.6581075068147555
750,90.0,6,750,0.665678545148744
5,76.0,7,5,0.5815001775266674
50,84.0,1,50,0.6304688321244614
750,89.2,8,750,0.6579597448367055
250,88.4,3,250,0.659499693917302
5,76.0,9,5,0.5798445483875946
50,84.0,8,50,0.6301619515569529
250,88.4,4,250,0.6539131805904049
2,70.8,1,2,0.5228692468049138
2,70.8,6,2,0.5228692468049138
2,70.8,8,2,0.5228692468049138
500,89.2,2,500,0.6618493611871097
500,89.2,5,500,0.6614236279799196
1,66.4,0,1,0.504674748146839
200,88.4,0,200,0.6535864235318852
1000,90.0,9,1000,0.6646488799033479
1500,92.0,2,1500,0.6713289847134395
100,85.6,4,100,0.6384809451034618
1500,91.60000000000001,5,1500,0.6679081810486484
100,85.2,3,100,0.6395689299662811
1,66.4,7,1,0.5040598001808976
200,90.4,7,200,0.6682068930845207
1000,89.60000000000001,0,1000,0.6640124040786294
1,66.8,9,1,0.5086955617703015
200,89.2,9,200,0.6577945968674448
1000,89.60000000000001,7,1000,0.6728268867773619
2000,92.80000000000001,1,2000,0.6805132749721566
75,85.6,2,75,0.6438548206760127
75,86.0,5,75,0.6452423955735215
2000,90.8,6,2000,0.66480605487228
2000,94.0,8,2000,0.682682177604915
2500,92.80000000000001,3,2500,0.677948596657206
2500,94.0,4,2500,0.6802539215342749
500,88.8,4,500,0.6613083898169628
2,70.39999999999999,9,2,0.5216866545627188
500,89.2,3,500,0.6613739093871546
2,70.8,7,2,0.5228692468049138
2,70.39999999999999,0,2,0.5203621512514606
50,84.0,9,50,0.6294288079470199
250,88.8,5,250,0.6561837576954193
250,88.8,2,250,0.6593976663513088
750,88.8,9,750,0.6561495516589413
5,76.0,8,5,0.5813424985610415
750,88.4,7,750,0.6586933669715129
5,76.0,6,5,0.5820520539063584
50,85.2,0,50,0.6317468403561121
5,76.0,1,5,0.5813424985610415
50,84.39999999999999,7,50,0.6305496931324748
750,90.4,0,750,0.6690602333648692
2500,94.39999999999999,5,2500,0.688457899716178
2000,92.80000000000001,9,2000,0.674230585047362
2500,93.60000000000001,2,2500,0.681110059918007
75,84.39999999999999,4,75,0.6407757805108799
2000,94.39999999999999,7,2000,0.6867818307111906
2000,92.80000000000001,0,2000,0.6806294384632888
75,85.6,3,75,0.6424544550372367
1000,91.2,6,1000,0.6700888042174444
1000,90.0,1,1000,0.6671676120001837
1,66.8,8,1,0.5086955617703015
200,88.8,8,200,0.6564692052239858
100,86.8,2,100,0.6416930607543913
1500,92.4,4,1500,0.675326395458846
1,66.8,6,1,0.5086955617703015
200,88.8,6,200,0.657668453694944
1,66.8,1,1,0.5086955617703015
200,88.8,1,200,0.6574495581897218
1000,90.8,8,1000,0.667736894889213
100,86.0,5,100,0.6408116166394313
1500,92.80000000000001,3,1500,0.6736069362777386
