n_shots,accuracy,run_num,nspw,f1
50,100.0,1,50,0.2913907284768212
250,98.4,4,250,0.8008830022075055
250,97.6,3,250,0.7435719541679806
50,98.0,6,50,0.26269315673289184
50,96.0,8,50,0.2878587196467991
1,100.0,3,1,0.006622516556291391
1,100.0,4,1,0.006622516556291391
25,100.0,0,25,0.1390728476821192
10,100.0,7,10,0.06622516556291391
2,50.0,2,2,0.006622516556291391
25,96.0,7,25,0.15673289183222958
10,100.0,0,10,0.059602649006622516
2,100.0,5,2,0.013245033112582781
200,99.5,9,200,0.7072847682119205
100,100.0,3,100,0.4966887417218543
20,95.0,3,20,0.12582781456953643
25,96.0,9,25,0.14216335540838854
200,100.0,7,200,0.7417218543046358
10,90.0,9,10,0.051655629139072845
200,99.0,0,200,0.730242825607064
100,97.0,4,100,0.44900662251655626
20,100.0,4,20,0.13245033112582782
5,100.0,3,5,0.033112582781456956
75,97.33333333333334,5,75,0.35982339955849885
5,100.0,4,5,0.033112582781456956
75,96.0,2,75,0.3841059602649006
1,100.0,5,1,0.006622516556291391
1,0.0,2,1,0.0
50,100.0,9,50,0.2847682119205298
250,98.0,2,250,0.8132923368022705
50,100.0,7,50,0.2913907284768212
50,100.0,0,50,0.271523178807947
250,98.4,5,250,0.7799030991083972
5,100.0,5,5,0.033112582781456956
75,100.0,3,75,0.423841059602649
5,80.0,2,5,0.026490066225165563
75,98.66666666666667,4,75,0.37748344370860926
10,90.0,8,10,0.051655629139072845
200,99.0,1,200,0.7209082308420057
100,98.0,5,100,0.46578366445916114
20,100.0,5,20,0.11920529801324503
100,97.0,2,100,0.4790286975717439
20,90.0,2,20,0.11699779249448122
25,96.0,8,25,0.1456953642384106
200,98.0,6,200,0.7026490066225165
25,100.0,6,25,0.1456953642384106
2,100.0,4,2,0.013245033112582781
10,100.0,1,10,0.06622516556291391
200,98.0,8,200,0.7015452538631347
25,100.0,1,25,0.152317880794702
2,50.0,3,2,0.004415011037527594
10,100.0,6,10,0.059602649006622516
5,80.0,8,5,0.024282560706401765
75,96.0,9,75,0.3350993377483444
5,100.0,1,5,0.033112582781456956
75,98.66666666666667,7,75,0.40618101545253865
5,100.0,6,5,0.026490066225165563
75,98.66666666666667,0,75,0.3841059602649007
20,100.0,1,20,0.12582781456953643
100,98.0,1,100,0.4887417218543046
2,100.0,9,2,0.013245033112582781
200,98.5,5,200,0.6973423927066311
200,97.5,2,200,0.7323872595395775
20,100.0,6,20,0.11920529801324503
100,99.0,6,100,0.4812362030905077
25,92.0,2,25,0.1456953642384106
10,100.0,5,10,0.06622516556291391
2,50.0,0,2,0.004415011037527594
20,100.0,8,20,0.11920529801324503
100,97.0,8,100,0.4415011037527593
25,100.0,5,25,0.1456953642384106
10,90.0,2,10,0.059602649006622516
2,100.0,7,2,0.013245033112582781
1,100.0,8,1,0.006622516556291391
1,100.0,1,1,0.006622516556291391
1,100.0,6,1,0.006622516556291391
250,98.8,8,250,0.8043519394512771
50,100.0,3,50,0.304635761589404
250,97.2,6,250,0.7839870945831211
250,99.2,1,250,0.7807211184694628
50,98.0,4,50,0.271523178807947
25,100.0,4,25,0.16556291390728478
2,100.0,6,2,0.013245033112582781
10,100.0,3,10,0.06622516556291391
25,96.0,3,25,0.15894039735099338
2,100.0,1,2,0.013245033112582781
10,100.0,4,10,0.06622516556291391
20,95.0,9,20,0.11125827814569537
100,100.0,9,100,0.46357615894039733
200,98.5,3,200,0.6948596657205929
20,100.0,7,20,0.13245033112582782
100,99.0,7,100,0.5089877010406813
20,100.0,0,20,0.11920529801324503
100,98.0,0,100,0.4591611479028698
2,100.0,8,2,0.013245033112582781
200,99.5,4,200,0.7341532639545885
5,100.0,7,5,0.033112582781456956
75,98.66666666666667,1,75,0.40927152317880794
5,100.0,0,5,0.033112582781456956
75,100.0,6,75,0.3708609271523179
75,97.33333333333334,8,75,0.3739514348785872
5,80.0,9,5,0.024282560706401765
250,99.2,0,250,0.8195364238410596
50,96.0,5,50,0.2657205928729107
50,96.0,2,50,0.27373068432671077
250,100.0,7,250,0.8211920529801324
250,99.2,9,250,0.7774834437086092
1,100.0,7,1,0.006622516556291391
1,100.0,0,1,0.006622516556291391
1,100.0,9,1,0.006622516556291391
