n_shots,accuracy,run_num,nspw,f1
25,54.800000000000004,3,25,0.3879766664534874
500,80.0,5,500,0.5800010511931043
10,45.6,4,10,0.30055551512505146
20,47.199999999999996,9,20,0.3527677436617832
2,30.0,1,2,0.24039981781073708
2,33.6,6,2,0.269738916828495
500,81.2,2,500,0.607133614422574
25,50.0,4,25,0.35998880788518467
10,50.0,3,10,0.36175274320969664
2,29.599999999999998,8,2,0.22252302015254594
20,49.2,0,20,0.37935254590883705
20,50.8,7,20,0.345267932950052
5,44.0,0,5,0.3322609411942931
250,68.4,4,250,0.5110381524288808
75,56.39999999999999,6,75,0.4356880058866811
750,80.80000000000001,8,750,0.6035127864283704
250,70.0,3,250,0.5159879615537548
75,55.2,1,75,0.3945495637548616
5,39.2,7,5,0.23936920281871182
750,85.6,6,750,0.6267817723115737
5,44.4,9,5,0.325749930716818
75,52.400000000000006,8,75,0.39647253041292757
750,83.6,1,750,0.611389030395653
50,54.400000000000006,2,50,0.42484483659006433
50,48.0,5,50,0.3648440595460461
1000,86.0,4,1000,0.6136386772671192
1,30.8,4,1,0.23719498424970703
1,29.2,3,1,0.2132007377118402
1000,84.39999999999999,3,1000,0.6142432622565073
200,66.0,9,200,0.4779189485700071
100,57.599999999999994,3,100,0.4211421213076839
200,62.0,7,200,0.45054129093864165
200,69.6,0,200,0.4989674092884328
100,57.99999999999999,4,100,0.40002161842831857
750,79.60000000000001,0,750,0.5993547713968786
75,50.8,9,75,0.40842475947041984
750,82.0,7,750,0.616492967113828
5,44.800000000000004,8,5,0.3338892527634248
75,60.4,0,75,0.390599466758407
250,73.6,2,250,0.5258120466729739
750,84.8,9,750,0.6071677449328552
5,43.6,6,5,0.3239769384809955
5,41.6,1,5,0.3142305266477451
75,60.0,7,75,0.4074137782747052
250,69.19999999999999,5,250,0.5021348776315664
20,47.199999999999996,6,20,0.35567366019255364
20,47.599999999999994,1,20,0.33121641592619383
2,38.0,9,2,0.2785793125197098
2,40.0,7,2,0.2877879263136965
500,80.80000000000001,3,500,0.5755449284252696
25,47.599999999999994,5,25,0.3437580815064257
10,47.199999999999996,2,10,0.3350520340586564
25,50.8,2,25,0.37124265107883064
500,78.4,4,500,0.5669524556941774
10,48.4,5,10,0.35682709490656483
2,45.6,0,2,0.3397226361954261
20,48.0,8,20,0.33295384652296
200,67.2,1,200,0.4691121240790115
100,59.599999999999994,5,100,0.41075209597342727
100,55.2,2,100,0.45306159991590444
200,66.4,6,200,0.4704996989765201
200,64.4,8,200,0.4507802719723248
1,35.199999999999996,2,1,0.2751708188794281
1000,85.6,2,1000,0.6337860386712787
1000,83.2,5,1000,0.6127512603517322
1,30.4,5,1,0.2512252722629657
50,55.2,4,50,0.3727279014312823
50,55.60000000000001,3,50,0.38588510459371356
100,59.599999999999994,1,100,0.41009246108583836
200,68.8,5,200,0.4850501227984672
200,60.8,2,200,0.47750292169848074
100,57.99999999999999,6,100,0.4316025034568079
100,56.00000000000001,8,100,0.42859344412511957
1000,90.4,6,1000,0.6465858214364111
50,49.2,9,50,0.38245176457096974
1,25.6,6,1,0.2137188223140034
1,25.6,1,1,0.21740658587710787
1000,88.0,1,1000,0.6466405782442333
50,54.400000000000006,0,50,0.4055082518658676
1000,82.8,8,1000,0.6011660882521811
1,29.599999999999998,8,1,0.24055667888936294
50,56.00000000000001,7,50,0.3775276618468894
750,85.6,4,750,0.6167823222638511
250,69.6,8,250,0.4740766405658685
750,82.8,3,750,0.6088871058524844
5,40.400000000000006,2,5,0.29765106122722007
250,71.6,6,250,0.5117973201909747
75,56.00000000000001,4,75,0.394020136583836
250,68.0,1,250,0.4850698234804195
75,58.8,3,75,0.42026821596357994
5,46.0,5,5,0.3280549288827433
20,48.0,2,20,0.33928851325914366
25,49.2,8,25,0.35133501524229976
500,78.0,9,500,0.5486599335035919
10,46.800000000000004,8,10,0.32776575889158643
20,48.4,5,20,0.35235143811302727
500,79.60000000000001,7,500,0.5787242558765737
25,46.0,1,25,0.31426913777907145
10,47.199999999999996,6,10,0.34239584801089645
2,14.399999999999999,3,2,0.12123727872996314
2,39.2,4,2,0.2893655515587731
25,48.4,6,25,0.3493158531724949
500,81.2,0,500,0.5856516184330754
10,46.400000000000006,1,10,0.33734363502575404
1000,86.4,9,1000,0.620328150347431
