n_shots,accuracy,run_num,nspw,f1
50,83.2,0,50,0.6149710113286275
500,90.0,0,500,0.6677388836329234
1500,91.60000000000001,0,1500,0.6666254275525799
1,66.4,0,1,0.504674748146839
100,87.6,0,100,0.6495900346893726
2500,94.39999999999999,0,2500,0.6811999953280308
250,90.0,0,250,0.6691477109127556
25,83.2,0,25,0.6372645189131771
10,78.0,0,10,0.596117679230262
2,71.2,0,2,0.5520423469098964
20,80.80000000000001,0,20,0.610790220584574
1000,91.60000000000001,0,1000,0.6749390031369816
200,88.8,0,200,0.6562440870387891
5,73.2,0,5,0.5751841953546899
2000,92.80000000000001,0,2000,0.6727740986019132
75,85.2,0,75,0.646897666351309
750,92.4,0,750,0.6840118568822189
