n_shots,accuracy,run_num,nspw,f1
200,93.60000000000001,0,200,0.7756846915719439
100,91.2,4,100,0.7464291965767494
50,77.2,8,50,0.5338005656122314
100,83.6,3,100,0.5961677631106523
200,93.2,7,200,0.7300840347023979
50,80.80000000000001,6,50,0.6096164213410931
200,92.4,9,200,0.7607437810148435
50,75.2,1,50,0.4790614848444805
20,68.4,4,20,0.321797717887519
5,26.400000000000002,5,5,0.2204596126761573
750,96.0,1,750,0.8737595183339864
10,38.4,9,10,0.21523726161544823
750,92.80000000000001,6,750,0.7597735168323403
25,54.0,9,25,0.31580891499629743
20,64.8,3,20,0.3888568373500376
5,31.2,2,5,0.18874947643887977
250,91.2,3,250,0.7998942620563768
750,94.0,8,750,0.8078423082277486
10,66.4,0,10,0.47768868532696457
25,72.39999999999999,7,25,0.43347166514559987
1,32.0,5,1,0.2542577248459602
250,94.39999999999999,4,250,0.8467403025996004
10,52.0,7,10,0.29186830493629584
25,80.4,0,25,0.5709861307842317
1,17.599999999999998,2,1,0.04519346902259002
2,30.0,4,2,0.20347327935375897
2,30.4,3,2,0.18159318187824064
75,87.6,2,75,0.6714044385980539
500,93.60000000000001,2,500,0.8371340236851599
75,85.6,5,75,0.6011779606457393
500,94.0,5,500,0.8592614220762652
50,84.8,0,50,0.5663691205177275
50,76.8,7,50,0.44012877615395285
200,93.2,8,200,0.8240614737022188
100,88.4,2,100,0.7166692198400499
50,84.0,9,50,0.5700547859140839
200,93.60000000000001,6,200,0.7596504167092404
200,91.60000000000001,1,200,0.7607027817091383
100,88.8,5,100,0.6646813618936381
75,87.2,4,75,0.6269381059014555
500,94.8,4,500,0.8490930378521031
75,75.2,3,75,0.5230467215366877
500,93.2,3,500,0.8219362180177586
2,45.6,2,2,0.3691142346409959
2,21.2,5,2,0.17916839215261024
250,93.2,5,250,0.8206862859004759
10,40.8,6,10,0.24386255665840934
25,69.19999999999999,1,25,0.4193036231542424
1,16.0,3,1,0.14806455559050716
750,94.8,9,750,0.8465612035195725
250,92.4,2,250,0.7643302970857151
10,53.6,1,10,0.35453521392102705
25,59.199999999999996,6,25,0.34058126542261297
1,24.0,4,1,0.06524938514558694
750,94.8,7,750,0.8317169443402749
25,73.2,8,25,0.3730873661032103
20,66.0,2,20,0.44742220377263414
5,39.2,3,5,0.24575704537700277
20,68.8,5,20,0.40674952730248287
5,40.8,4,5,0.22368429101222945
750,95.19999999999999,0,750,0.8418410627227426
10,60.8,8,10,0.29086103165412347
75,87.2,0,75,0.6010830433489877
500,94.8,0,500,0.8359842902096233
75,85.2,7,75,0.5565548580694315
500,93.2,7,500,0.7889356127508845
2,37.2,8,2,0.21951021601557621
75,86.8,9,75,0.6336465346372467
500,94.39999999999999,9,500,0.8273267432937272
2,17.2,6,2,0.10569143290166436
2,20.4,1,2,0.08492434112760476
10,47.599999999999994,2,10,0.3364683120084446
250,92.4,1,250,0.7843337418537282
1,18.8,7,1,0.10945754536746266
25,76.4,5,25,0.46353290876330433
20,70.8,8,20,0.36398055224212156
5,33.6,9,5,0.22103492204050493
10,57.599999999999994,5,10,0.38302348497717165
250,90.8,6,250,0.7418953050679823
1,28.000000000000004,0,1,0.17348883734329557
25,70.39999999999999,2,25,0.4802214440119235
20,52.0,6,20,0.30747030624343763
5,42.8,7,5,0.29959375790759557
750,93.60000000000001,3,750,0.8279105319253751
250,94.0,8,250,0.8342290699774495
750,93.2,4,750,0.8412229175678514
1,3.5999999999999996,9,1,0.014565826330532211
20,62.8,1,20,0.3782633734032586
5,32.0,0,5,0.19528408038469958
50,77.2,4,50,0.42929700549495153
100,90.4,8,100,0.749090451658092
50,67.2,3,50,0.43755713273014313
200,90.8,2,200,0.7401655872578117
100,84.0,6,100,0.6186036528342119
100,88.8,1,100,0.7005477382980884
200,91.60000000000001,5,200,0.7203312474970841
750,93.2,5,750,0.842551629215537
1,15.6,8,1,0.09575971952800856
20,72.39999999999999,0,20,0.4669538944701533
5,50.4,1,5,0.3496879175580686
20,67.60000000000001,7,20,0.37413286508886356
5,49.6,6,5,0.3358034564571624
250,92.4,9,250,0.7794469360802276
750,93.2,2,750,0.8319244270070216
20,54.400000000000006,9,20,0.34273012289428156
5,48.4,8,5,0.21128951655239414
10,59.199999999999996,4,10,0.36778277498578477
250,93.60000000000001,7,250,0.7742771116379574
1,2.8000000000000003,1,1,0.0016021972991531242
25,63.6,3,25,0.39763161211582154
10,56.00000000000001,3,10,0.3728697802813901
250,95.19999999999999,0,250,0.8085045678771244
1,17.2,6,1,0.09932295760102683
25,64.4,4,25,0.28425069087249893
2,14.799999999999999,0,2,0.08428684605155193
75,86.8,8,75,0.6425934880629448
500,92.80000000000001,8,500,0.8093083752889675
2,32.0,7,2,0.1386142781663897
75,82.0,6,75,0.5870323335466298
500,92.80000000000001,6,500,0.7921550573058235
2,22.400000000000002,9,2,0.16465878605373752
75,82.8,1,75,0.5801064448279717
500,94.8,1,500,0.8243714090128246
100,88.8,0,100,0.672693622506799
200,91.2,4,200,0.7642957791580967
200,90.8,3,200,0.7842382346176562
100,90.0,7,100,0.6434988387699014
50,83.2,2,50,0.612928591635754
100,88.8,9,100,0.6943200219440255
50,84.39999999999999,5,50,0.5881012781975351
