n_shots,accuracy,run_num,nspw,f1
750,88.8,4,750,0.7516894550462323
750,89.60000000000001,3,750,0.7517734705251238
250,86.8,8,250,0.7263492902456907
250,87.2,6,250,0.7304876490451748
250,87.2,1,250,0.7307210757491899
50,87.6,8,50,0.7336587576206952
1,69.19999999999999,9,1,0.5835536288477334
500,88.4,9,500,0.7465108937433949
1,69.19999999999999,7,1,0.5835536288477334
500,88.0,7,500,0.7376185762504441
50,88.0,1,50,0.7363557763049304
50,87.6,6,50,0.73255579281804
1,69.19999999999999,0,1,0.5835536288477334
500,88.4,0,500,0.7377263025130484
100,88.0,1,100,0.7372152056163638
2500,89.2,0,2500,0.7450667286904011
200,88.0,5,200,0.7361844054318101
2500,87.6,7,2500,0.7073080298533964
200,88.4,2,200,0.7395630733325368
100,88.0,6,100,0.732682121479699
75,88.8,5,75,0.7412736552079667
2500,90.4,9,2500,0.7551043055368314
2000,87.6,2,2000,0.7384404608628989
100,88.4,8,100,0.7344502553066564
2,72.0,4,2,0.593029843800116
2,72.0,3,2,0.593029843800116
75,88.8,2,75,0.7440747756561461
2000,88.8,5,2000,0.7394343515952043
1500,90.4,8,1500,0.7593215479893679
1000,88.0,3,1000,0.7435312159692615
25,54.400000000000006,9,25,0.3668099634451936
20,86.4,3,20,0.723477324530525
20,86.8,4,20,0.7251384213473312
10,83.6,9,10,0.6812493031181911
1000,90.0,4,1000,0.7561311770934912
5,78.8,5,5,0.6617630841596537
10,84.0,7,10,0.6825529386307516
1500,89.2,1,1500,0.7325616475891035
25,86.8,0,25,0.735151265773208
10,42.0,0,10,0.2815098716693371
1500,90.4,6,1500,0.7392690885430024
25,87.2,7,25,0.7388705312571794
5,78.8,2,5,0.6617630841596537
50,88.0,7,50,0.7325728489925915
1,69.19999999999999,1,1,0.5835536288477334
500,88.4,1,500,0.7496148794739278
1,69.19999999999999,6,1,0.5835536288477334
500,87.6,6,500,0.7306346522148762
50,87.6,0,50,0.7332586552720635
1,69.19999999999999,8,1,0.5835536288477334
500,88.8,8,500,0.7438804550127781
50,88.0,9,50,0.7310231968736793
250,87.6,0,250,0.7319966603048256
250,87.2,7,250,0.7259711246934987
250,86.8,9,250,0.7284836938237148
750,88.8,2,750,0.7464985994397759
750,89.2,5,750,0.7454722205262376
10,84.0,1,10,0.6825529386307516
1500,89.60000000000001,7,1500,0.7540319574056595
25,87.2,6,25,0.7388705312571794
5,78.8,3,5,0.6617630841596537
5,78.8,4,5,0.6617630841596537
10,83.6,6,10,0.6810233545185401
1500,89.60000000000001,0,1500,0.7577896859226781
25,86.4,1,25,0.7334428960121
20,86.4,5,20,0.7277209586357508
10,83.6,8,10,0.6807073306731045
1000,88.8,5,1000,0.7399174184560902
1500,90.8,9,1500,0.7619023693850683
1000,88.0,2,1000,0.7406390193234822
25,86.8,8,25,0.7371120500869335
20,86.8,2,20,0.7285803745043055
2,72.0,2,2,0.593029843800116
75,88.8,3,75,0.7430899761419348
2000,90.0,4,2000,0.7567708307327683
2500,88.4,8,2500,0.7405809767132996
75,89.2,4,75,0.7404211267428349
2000,90.4,3,2000,0.7647878612227318
100,88.0,9,100,0.7327505289268295
2,72.0,5,2,0.593029843800116
200,87.6,3,200,0.7332691711562815
2500,89.2,6,2500,0.7209714183647639
100,88.0,7,100,0.7364817650110066
100,88.4,0,100,0.7373351510304268
200,88.0,4,200,0.7393577176860047
2500,90.4,1,2500,0.762289528353555
5,78.8,7,5,0.6617630841596537
20,86.8,8,20,0.7291753302285308
1500,89.2,3,1500,0.7573666202881221
10,84.0,5,10,0.6825529386307516
1000,88.0,8,1000,0.7457386957644774
25,86.4,2,25,0.7346930491653673
1500,89.2,4,1500,0.7528187242720114
10,84.0,2,10,0.6825529386307516
25,86.4,5,25,0.728826912866705
5,78.8,0,5,0.6617630841596537
1000,88.4,1,1000,0.744048811574593
20,86.4,1,20,0.7275546102518976
5,78.8,9,5,0.6617630841596537
20,86.8,6,20,0.7291753302285308
1000,89.2,6,1000,0.7497064532576404
75,88.8,7,75,0.7430599318661599
2000,89.60000000000001,0,2000,0.758475669961471
2,72.0,6,2,0.593029843800116
2,72.0,1,2,0.593029843800116
75,88.8,0,75,0.7457383318975013
200,88.0,9,200,0.7375149376446953
2000,88.8,7,2000,0.7497574193075921
100,88.4,3,100,0.7365811399185658
2500,89.60000000000001,2,2500,0.7530769517838483
200,87.6,7,200,0.7321350218443828
2000,88.4,9,2000,0.7489228037560703
2500,90.0,5,2500,0.7575930192865675
200,88.0,0,200,0.73199466135236
75,88.4,9,75,0.7418911039711957
100,88.4,4,100,0.7359179497413091
2,72.0,8,2,0.593029843800116
1,69.19999999999999,5,1,0.5835536288477334
500,88.4,5,500,0.7427586602837427
50,87.6,3,50,0.7332201611294671
50,88.0,4,50,0.7367122825437896
1,69.19999999999999,2,1,0.5835536288477334
500,88.8,2,500,0.7452848097869255
250,86.8,4,250,0.7242868612445293
250,87.2,3,250,0.7237429145688692
750,89.2,8,750,0.755363979941551
750,89.2,6,750,0.7494707191858615
750,89.60000000000001,1,750,0.7574391537263041
75,88.4,8,75,0.7402490423394588
200,88.0,1,200,0.7381942093533786
2500,89.60000000000001,4,2500,0.744058704278355
100,88.0,5,100,0.7346842622863939
2,72.0,9,2,0.593029843800116
100,88.8,2,100,0.7405043820153681
200,88.4,6,200,0.7413276935162747
2500,90.8,3,2500,0.7463991011707782
2000,88.8,8,2000,0.7401904566885008
2,72.0,0,2,0.593029843800116
200,88.4,8,200,0.7354680507081025
75,88.8,1,75,0.7446895633452373
