n_shots,accuracy,run_num,nspw,f1
75,74.0,4,75,0.41233670928586585
75,78.0,3,75,0.4906599882782748
5,41.199999999999996,8,5,0.21930177805751622
5,35.6,6,5,0.1633393751079688
5,32.4,1,5,0.2281060333466247
25,50.4,1,25,0.340272892096566
100,80.0,4,100,0.5205694181996893
10,34.8,6,10,0.1626321302298428
200,93.60000000000001,0,200,0.7365057524091672
200,94.39999999999999,7,200,0.7583189356173606
2,20.0,9,2,0.11178456055348668
25,52.0,6,25,0.356128917084075
100,80.80000000000001,3,100,0.5378163627787307
10,46.800000000000004,1,10,0.3452949910750422
200,94.8,9,200,0.7587562367773363
2,11.600000000000001,7,2,0.044120445380949586
20,42.8,2,20,0.27020197382146516
25,64.0,8,25,0.4086315508107987
10,49.2,8,10,0.3237639771789
20,50.0,5,20,0.27988152872841043
2,26.0,0,2,0.1776551947565133
1,11.600000000000001,0,1,0.03909114278622842
1,10.8,7,1,0.051660761001488816
1,10.4,9,1,0.03220843079703033
500,98.8,2,500,0.8905173834239576
500,97.2,5,500,0.8603652482135453
50,66.4,0,50,0.41783382624091336
750,96.39999999999999,1,750,0.8450061247661865
50,69.6,7,50,0.46271897192549605
750,97.2,6,750,0.8439059392839491
50,68.0,9,50,0.40431431882603475
250,99.2,3,250,0.8295884542014571
750,99.2,8,750,0.8101449275362319
250,98.0,4,250,0.7785416540197089
10,39.6,9,10,0.25122163626152044
20,44.800000000000004,4,20,0.20270512147238098
2,13.600000000000001,1,2,0.11758223815239774
200,96.0,8,200,0.7585695265969097
2,22.400000000000002,6,2,0.10727916166466586
20,54.400000000000006,3,20,0.3252144135716996
25,59.199999999999996,9,25,0.3540878983604061
200,93.60000000000001,6,200,0.7738608941937997
2,20.0,8,2,0.12348442407265935
25,56.39999999999999,7,25,0.34262138002463083
100,79.60000000000001,2,100,0.6291895303916539
10,42.4,0,10,0.30862742111779407
25,53.6,0,25,0.3751226902537644
100,80.0,5,100,0.5606634500773016
10,48.8,7,10,0.3299351032645541
200,93.60000000000001,1,200,0.7760127213907311
5,34.4,0,5,0.2519837200898894
5,34.0,7,5,0.21617295770707737
75,73.6,2,75,0.5291419462233066
5,38.800000000000004,9,5,0.248403270118939
75,73.2,5,75,0.5066869899612114
250,98.4,5,250,0.8869477615607647
50,75.2,8,50,0.5194898617028012
750,98.4,9,750,0.8064490463317
250,98.4,2,250,0.8828749297607428
50,63.2,6,50,0.42663373625037154
750,97.2,7,750,0.7888639682757328
50,66.8,1,50,0.46108680020934173
750,97.2,0,750,0.8160190136660723
500,97.6,4,500,0.7751949733829171
1,18.4,8,1,0.10117578017122342
500,98.4,3,500,0.8254433475021709
1,14.799999999999999,6,1,0.0598252285224319
1,14.399999999999999,1,1,0.11196997824396909
250,99.6,1,250,0.8652390780873753
250,97.2,6,250,0.8183004029517692
50,67.2,2,50,0.4456798788269146
750,98.4,3,750,0.818804140475967
250,99.2,8,250,0.8178883861236802
50,62.0,5,50,0.38288199490919933
750,98.0,4,750,0.7765808697059834
500,98.4,0,500,0.8130905695611578
500,97.2,7,500,0.789840375567019
1,10.4,2,1,0.05543853261906
500,99.2,9,500,0.8148459383753499
1,14.399999999999999,5,1,0.06838784430874666
20,50.0,0,20,0.320689541399745
2,25.2,5,2,0.14417767376165705
100,82.39999999999999,8,100,0.5913441278983143
2,9.6,2,2,0.023964021948301866
20,49.2,7,20,0.30942635448188016
25,60.0,3,25,0.4093798964345722
100,81.2,6,100,0.590796252633137
10,35.199999999999996,4,10,0.19217424484185885
20,49.2,9,20,0.2401091219921718
200,92.0,2,200,0.7946605386979838
200,93.60000000000001,5,200,0.824437141213928
25,53.2,4,25,0.25601610521396856
100,80.4,1,100,0.6243600135320676
10,38.800000000000004,3,10,0.20775372505401088
5,27.6,4,5,0.13741827951824662
5,28.000000000000004,3,5,0.19776180621470563
75,79.60000000000001,8,75,0.5951370130709047
75,74.4,6,75,0.5198993014740375
75,73.6,1,75,0.5013753206450976
1,17.599999999999998,4,1,0.07613096307866073
1,4.8,3,1,0.01052420968387355
500,99.6,8,500,0.8137254901960783
500,97.2,6,500,0.8484456133737962
500,96.8,1,500,0.8431979855892897
50,60.8,4,50,0.303849856460758
750,98.4,5,750,0.8686196700902584
50,70.0,3,50,0.42109102041006424
250,99.2,9,250,0.8109243697478989
750,97.6,2,750,0.8728847421321468
250,98.8,7,250,0.7996370202707844
250,98.8,0,250,0.8336930134372589
75,74.4,0,75,0.46863002419924654
75,77.2,7,75,0.5433717903941906
5,24.4,2,5,0.18701723441980223
75,73.2,9,75,0.4543533878460262
5,28.799999999999997,5,5,0.18182332609166438
200,93.60000000000001,4,200,0.709640429255481
25,53.6,5,25,0.3021594788315053
100,80.0,0,100,0.5066218563520967
10,39.6,2,10,0.2638079657616172
25,50.4,2,25,0.30589909005623755
100,83.6,7,100,0.63572442501144
10,36.8,5,10,0.2100639695445703
20,57.599999999999994,8,20,0.32297532014135283
200,94.39999999999999,3,200,0.7522796334685156
100,82.0,9,100,0.5762207852484134
2,21.6,3,2,0.15753113034879748
20,47.199999999999996,6,20,0.31593990930816795
20,48.4,1,20,0.33068903734993693
2,36.8,4,2,0.236083507653009
