n_shots,accuracy,run_num,nspw,f1
5,27.6,5,5,0.18104472181029277
50,65.60000000000001,5,50,0.4592363173468766
5,18.0,2,5,0.09047448466566113
50,67.2,2,50,0.4694536860443976
200,82.8,7,200,0.610582499326141
2,32.800000000000004,4,2,0.21290879027806486
100,72.39999999999999,3,100,0.5103641272266735
2,12.4,3,2,0.08747032379385321
100,70.0,4,100,0.4796144948389531
200,79.60000000000001,0,200,0.6047769798331843
200,83.2,9,200,0.62304790299923
1000,84.8,1,1000,0.6663020701801532
25,46.800000000000004,4,25,0.24054724274922132
10,40.0,3,10,0.24147080754187833
1,26.400000000000002,0,1,0.18162831116834222
1,29.2,7,1,0.15615756167070313
20,47.199999999999996,9,20,0.2868825367437227
1000,86.8,6,1000,0.6915962674443942
25,46.400000000000006,3,25,0.29547167453801515
10,42.4,4,10,0.25891900146872077
1,18.4,9,1,0.0707275711600971
20,46.400000000000006,7,20,0.26618263217868204
1000,85.6,8,1000,0.6958381207280966
1500,85.6,3,1500,0.6801974029203629
500,85.6,5,500,0.645750608163519
1500,86.8,4,1500,0.6798068176376998
500,86.4,2,500,0.6947463260510628
20,39.6,0,20,0.23367502285561018
1750,87.6,7,1750,0.6990530523386722
75,64.8,1,75,0.4442340314994777
750,83.6,6,750,0.658700211127129
1750,86.8,0,1750,0.685130809489776
75,69.6,6,75,0.4371482101582541
750,86.8,1,750,0.6940497145648677
75,68.0,8,75,0.487446370508784
250,82.0,4,250,0.6207683515068889
1750,88.8,9,1750,0.7095864791366518
750,85.6,8,750,0.6726062227091338
250,83.2,3,250,0.6271768765676594
200,81.2,8,200,0.6267481830913811
2,30.8,2,2,0.1878385321365591
100,77.60000000000001,5,100,0.5616087948542439
200,80.0,1,200,0.5931359449490521
200,80.4,6,200,0.5971554861260744
2,26.400000000000002,5,2,0.18968376495921568
100,76.8,2,100,0.5169590142682633
5,32.0,3,5,0.2051984887738849
50,69.19999999999999,3,50,0.4512500351435986
5,36.4,4,5,0.2543638953165808
50,68.8,4,50,0.4324703531574729
1750,84.8,8,1750,0.6615251218828537
250,81.6,2,250,0.6322849313892859
750,88.4,9,750,0.7006993124559772
75,69.19999999999999,9,75,0.4589975463284427
250,85.2,5,250,0.6419021897418362
1750,88.0,1,1750,0.6911861593686555
75,69.6,7,75,0.46987737786718425
750,83.6,0,750,0.6559193673813049
1750,86.0,6,1750,0.6834885105437543
75,72.0,0,75,0.5178230289750978
750,83.6,7,750,0.6527426652272315
1500,88.0,5,1500,0.6940754992932795
500,84.8,3,500,0.6645149195537889
20,44.0,1,20,0.23752264500306755
1,25.2,8,1,0.13726498175027588
20,53.2,6,20,0.357625005229527
1000,86.8,9,1000,0.6942163134298681
1500,86.8,2,1500,0.7092517960705189
500,84.0,4,500,0.6738589348256726
1,17.2,6,1,0.09412674670497748
20,48.8,8,20,0.2616699390199444
1000,85.6,7,1000,0.6700825993633944
25,50.0,2,25,0.2639275088810895
10,46.0,5,10,0.3130167797997076
1000,85.6,0,1000,0.7070256198756443
25,41.199999999999996,5,25,0.28959030055015683
10,40.0,2,10,0.1818529469341201
1,15.2,1,1,0.10675192905809025
250,80.0,6,250,0.5930246271678495
250,82.39999999999999,1,250,0.6174384050947238
1750,86.4,5,1750,0.6693876374591811
75,70.8,3,75,0.49329308284683543
750,85.6,4,750,0.6743485323882624
1750,87.2,2,1750,0.6918366642711268
75,72.0,4,75,0.4746764795094035
250,83.6,8,250,0.6182356602771826
750,84.8,3,750,0.6429999487324811
20,40.400000000000006,5,20,0.271003681870645
500,85.6,7,500,0.6759460684459583
1500,86.0,1,1500,0.6734066295444503
10,43.6,8,10,0.21363674402705424
25,51.2,8,25,0.310668541531081
500,83.6,0,500,0.6551445830857592
1500,86.4,6,1500,0.6725595390406581
20,48.4,2,20,0.25618036876374517
25,57.599999999999994,6,25,0.39168897012650755
1000,87.2,3,1000,0.677687210179169
1500,84.39999999999999,8,1500,0.6480760133567365
10,45.2,1,10,0.27397377308276855
1,14.399999999999999,2,1,0.06976014181896535
1,12.0,5,1,0.08295932009167303
25,44.4,1,25,0.2589673987832679
1000,86.8,4,1000,0.6793489657575994
500,84.8,9,500,0.6610005028787814
10,41.6,6,10,0.22794647249580835
100,72.0,8,100,0.5292347830502797
2,29.599999999999998,8,2,0.20488679277378963
200,79.60000000000001,5,200,0.576010716053036
2,8.799999999999999,6,2,0.045789900659717435
100,73.2,1,100,0.4878738089722444
2,31.6,1,2,0.2004254974693405
100,72.39999999999999,6,100,0.4965396543365036
200,78.4,2,200,0.592898591069233
