n_shots,accuracy,run_num,nspw,f1
1000,89.2,0,1000,0.7388006892063687
5,79.60000000000001,0,5,0.6547704672838902
20,87.2,0,20,0.7116512616453436
200,88.8,0,200,0.7491183070318574
750,88.0,0,750,0.7364774367329043
2000,88.4,0,2000,0.7452514205049701
2,71.6,0,2,0.5976570712303738
75,88.4,0,75,0.7409790943908291
1500,90.4,0,1500,0.7679958615575796
50,66.0,0,50,0.49509940998080687
500,87.6,0,500,0.7343048475941586
1,69.19999999999999,0,1,0.5835536288477334
10,83.2,0,10,0.6886022633851052
25,88.0,0,25,0.7325737334072915
100,86.4,0,100,0.7102474366168694
2500,90.4,0,2500,0.7661731498813174
250,87.2,0,250,0.7214763122207042
