n_shots,accuracy,run_num,nspw,f1
50,66.0,0,50,0.4254245773008451
100,70.0,8,100,0.5174125874718429
5,41.199999999999996,1,5,0.23951600547734148
1000,87.6,1,1000,0.6945605022081703
1000,87.6,6,1000,0.6985548944199459
50,61.199999999999996,7,50,0.40974943027961613
5,35.6,6,5,0.20540159548866663
200,81.2,5,200,0.602297801312758
1000,83.2,8,1000,0.6585933274972132
1500,86.0,3,1500,0.6757483760351107
50,57.99999999999999,9,50,0.37155649643551797
100,72.39999999999999,1,100,0.47224653342823203
5,38.800000000000004,8,5,0.18469146623626678
100,70.8,6,100,0.4808319179307129
200,80.0,2,200,0.605220527709283
1500,87.6,4,1500,0.6784940014304339
2000,86.0,9,2000,0.6736372113710937
1750,86.8,7,1750,0.6760916934091376
2,28.4,0,2,0.173791450842552
2,36.4,7,2,0.18027169990402
1750,86.4,0,1750,0.6945925134073921
2,24.4,9,2,0.1698491969585864
1,12.0,5,1,0.08295932009167303
2000,86.8,0,2000,0.6875946909683932
1250,89.60000000000001,5,1250,0.7003791091417346
2000,88.4,7,2000,0.7117364250940396
1250,86.4,2,1250,0.6948477439096099
1750,87.6,9,1750,0.6882874243976994
1,14.399999999999999,2,1,0.06976014181896535
250,81.6,6,250,0.6016603865407835
10,41.6,6,10,0.23193541095833245
25,43.2,1,25,0.220341233420082
250,82.8,1,250,0.6422111365701031
10,42.8,1,10,0.2447054866247416
25,50.0,6,25,0.28750452402269017
20,50.0,2,20,0.2720033284410833
25,48.8,8,25,0.28183653381832297
10,41.6,8,10,0.19797802831248587
250,85.2,8,250,0.6637954077799301
20,40.8,5,20,0.2456142030235112
75,72.0,4,75,0.4979423486064852
500,86.0,7,500,0.6893299927588794
75,74.0,3,75,0.5266027300444563
500,83.6,0,500,0.6399355091915645
500,84.8,9,500,0.6644281769414012
2000,87.2,6,2000,0.6941695462769915
1250,85.6,3,1250,0.660380668607312
1750,84.8,8,1750,0.658357331001628
1,10.8,3,1,0.05495071459899354
