n_shots,accuracy,run_num,nspw,f1
2,58.4,6,2,0.02070488769920501
75,9.6,4,75,0.12114316928146715
2,4.0,1,2,0.016984133567162763
75,10.0,3,75,0.08772083065248844
2,2.0,8,2,0.0010182574268706032
25,7.6,1,25,0.06570338312034704
5,8.4,7,5,0.09495659780633874
10,4.0,6,10,0.0348639961485635
25,14.399999999999999,6,25,0.07097570604357935
5,1.2,0,5,0.0007598784194528874
10,8.4,1,10,0.03846148437933954
20,17.599999999999998,2,20,0.08022293037772914
25,9.2,8,25,0.04503402102362518
10,10.0,8,10,0.013359522212640926
5,74.8,9,5,0.020377029530347607
20,11.600000000000001,5,20,0.06904392298848588
100,16.8,8,100,0.09938675313643569
100,14.399999999999999,1,100,0.050285911466035685
100,9.2,6,100,0.04874373433160856
50,5.2,0,50,0.01641557523910465
1,74.0,5,1,0.020251778872468523
1,70.0,2,1,0.019747235387045814
50,12.4,7,50,0.08020943078085936
50,5.2,9,50,0.05222345495499918
5,13.200000000000001,8,5,0.0303831141794703
10,74.8,9,10,0.020377029530347607
20,7.6,4,20,0.052231281510109605
20,10.0,3,20,0.03711970899470899
25,3.2,9,25,0.00574980574980575
25,9.2,7,25,0.06852204922267066
10,1.2,0,10,0.0007363770250368188
5,7.6,1,5,0.04581144369333232
25,5.2,0,25,0.004054253280259472
10,11.600000000000001,7,10,0.0789892753564127
5,1.6,6,5,0.0007711586658955082
2,74.4,9,2,0.020314547837483616
2,1.6,0,2,0.0007711586658955082
75,15.6,2,75,0.09876701330848207
2,62.8,7,2,0.041781531807238745
75,15.6,5,75,0.08900457007117962
50,10.0,8,50,0.03748603688356791
1,63.2,3,1,0.035583464154892726
50,8.0,6,50,0.03449722739125247
50,7.199999999999999,1,50,0.045414347220369626
1,65.60000000000001,4,1,0.033943502588067644
100,12.4,7,100,0.09008610017235925
100,7.6,0,100,0.05401099198613818
100,9.2,9,100,0.05564811742807289
1,73.6,9,1,0.020188720649550143
50,11.200000000000001,2,50,0.08587384886447828
1,68.0,7,1,0.03774509803921569
1,35.199999999999996,0,1,0.02829565552677681
50,10.4,5,50,0.0707999723888054
100,13.200000000000001,3,100,0.08090884334875696
100,11.600000000000001,4,100,0.0820157170407797
20,5.2,0,20,0.0030970217203126213
20,8.799999999999999,7,20,0.03527930880888804
25,8.799999999999999,3,25,0.028682315417009295
5,69.6,5,5,0.01958797703478555
10,8.4,4,10,0.012507581473098717
20,23.599999999999998,9,20,0.01510698259491757
25,8.799999999999999,4,25,0.07023968093969533
5,5.2,2,5,0.07441657258675533
10,10.0,3,10,0.021169134320394824
75,20.8,8,75,0.057432895638875714
2,35.6,4,2,0.030189701600201284
75,6.800000000000001,6,75,0.03766021214085592
2,47.199999999999996,3,2,0.036019536019536016
75,14.000000000000002,1,75,0.021217540963518255
100,14.399999999999999,5,100,0.09274560113601475
100,14.799999999999999,2,100,0.08275570760042808
1,2.0,1,1,0.0009373828271466067
50,10.8,4,50,0.05690213253287951
50,7.6,3,50,0.03491977874292356
1,72.39999999999999,6,1,0.01999779029941443
1,1.6,8,1,0.0007499062617172854
2,60.4,2,2,0.021105269518975105
75,7.6,0,75,0.047593214034288484
2,72.39999999999999,5,2,0.020044296788482834
75,17.599999999999998,7,75,0.05850881019984201
75,7.6,9,75,0.0467321793852406
25,9.6,5,25,0.07804685247523982
10,6.0,2,10,0.04764515057703482
5,4.8,3,5,0.017976668579078217
25,11.600000000000001,2,25,0.08615565121214838
10,8.799999999999999,5,10,0.07310791060791061
5,68.0,4,5,0.022321428571428575
20,4.0,8,20,0.028709981975796068
20,9.6,6,20,0.05863546176046176
20,7.6,1,20,0.06591934426262737
