n_shots,accuracy,run_num,nspw,f1
750,95.05494505494505,0,750,0.9652993681676861
2,48.9010989010989,1,2,0.5254901960784314
750,91.75824175824175,7,750,0.9421888053467001
2,85.71428571428571,6,2,0.5863163656267104
50,94.5054945054945,9,50,0.9614011601963409
1750,90.10989010989012,5,1750,0.9305220883534137
1,51.64835164835166,5,1,0.5475280273441993
250,89.56043956043956,2,250,0.9267724867724868
750,93.4065934065934,9,750,0.9537433155080214
2,88.46153846153845,8,2,0.8121253098940725
50,87.36263736263736,7,50,0.8248385406218266
250,87.36263736263736,5,250,0.9110708818040609
50,96.15384615384616,0,50,0.9730106196859781
1750,94.5054945054945,2,1750,0.9614321383984304
1,65.38461538461539,2,1,0.4794233289646133
5,96.15384615384616,0,5,0.9729672414755287
5,65.38461538461539,7,5,0.6620380168528316
5,96.7032967032967,9,5,0.9767034742795583
500,94.5054945054945,3,500,0.9614630669161542
1000,89.01098901098901,3,1000,0.9227195568658985
1000,89.01098901098901,4,1000,0.9228023203926817
500,87.91208791208791,4,500,0.9149915125524881
100,96.7032967032967,5,100,0.976784755770263
10,89.01098901098901,8,10,0.9057022064540862
200,91.75824175824175,1,200,0.9263964508973584
20,90.65934065934066,5,20,0.9170034525438083
200,95.05494505494505,6,200,0.9652435961828227
20,96.7032967032967,2,20,0.9612346082597799
25,92.85714285714286,8,25,0.9498768651311024
100,95.6043956043956,2,100,0.9690878227463594
200,96.15384615384616,8,200,0.9729672414755287
25,82.96703296703298,6,25,0.5668783068783069
10,82.41758241758241,1,10,0.5627568094209344
25,91.75824175824175,1,25,0.6284142519030257
10,78.02197802197803,6,10,0.531264632018048
75,84.61538461538461,3,75,0.8910481331533964
75,95.6043956043956,4,75,0.9689964157706094
1000,92.3076923076923,5,1000,0.9460482936826161
500,95.05494505494505,5,500,0.9652993681676861
5,95.05494505494505,8,5,0.9495732574679944
500,90.65934065934066,2,500,0.916985517215324
1000,92.3076923076923,2,1000,0.9460482936826161
5,90.65934065934066,6,5,0.620844794132071
5,89.56043956043956,1,5,0.6129573041337747
250,88.46153846153845,4,250,0.9189017244265862
