n_shots,accuracy,run_num,nspw,f1
1000,92.80000000000001,0,1000,0.9337198535133231
200,95.19999999999999,0,200,0.95860286688843
10,73.2,0,10,0.7507689948445032
25,87.6,0,25,0.8699704136918779
1,64.0,0,1,0.6646438687891577
50,88.4,0,50,0.8797072823529107
750,91.60000000000001,0,750,0.9267030158892168
75,90.8,0,75,0.8866403423235266
500,93.60000000000001,0,500,0.9282935989270321
5,70.39999999999999,0,5,0.6962951041828046
250,92.0,0,250,0.9108937213180471
20,89.60000000000001,0,20,0.9003850733428352
2,69.19999999999999,0,2,0.7057723940326469
100,92.80000000000001,0,100,0.9119105643391888
