n_shots,accuracy,run_num,nspw,f1
2,68.8,8,2,0.7042282298381667
1,63.6,9,1,0.6455060695105995
75,92.4,9,75,0.9101335215932055
2,68.8,1,2,0.7042282298381667
1,63.6,7,1,0.6455060695105995
75,90.4,7,75,0.8855153461178871
2,68.8,6,2,0.7042282298381667
1,63.6,0,1,0.6455060695105995
75,90.4,0,75,0.8835711830019669
750,93.2,2,750,0.9397641621432452
10,72.39999999999999,5,10,0.7455393451380039
10,72.39999999999999,2,10,0.7455393451380039
750,94.39999999999999,5,750,0.9485775685092955
2000,92.80000000000001,7,2000,0.9137511783022619
2000,90.0,0,2000,0.892954886338538
2500,92.4,5,2500,0.9318266301108733
2000,92.4,9,2000,0.9309164507617673
2500,93.2,2,2500,0.9238832749939521
100,90.8,9,100,0.8867631096638732
1000,91.2,8,1000,0.9028865543164906
100,91.2,7,100,0.8896080279059003
1000,92.4,6,1000,0.8948279716693485
200,94.0,3,200,0.9490105199099107
50,86.4,3,50,0.8662735361144671
1000,92.80000000000001,1,1000,0.9341526119415958
200,93.60000000000001,4,200,0.9461693197521912
50,88.4,4,50,0.8692615644345637
100,92.80000000000001,0,100,0.9124120164803656
10,72.39999999999999,3,10,0.7455393451380039
750,92.80000000000001,4,750,0.9350630027335008
750,92.0,3,750,0.9311012965779532
10,72.39999999999999,4,10,0.7455393451380039
2,68.8,7,2,0.7042282298381667
1,63.6,1,1,0.6455060695105995
75,92.0,1,75,0.9063108608671261
2,68.8,0,2,0.7042282298381667
1,63.6,6,1,0.6455060695105995
75,92.4,6,75,0.9112530853268623
1,63.6,8,1,0.6455060695105995
75,89.60000000000001,8,75,0.8798534819811034
2,68.8,9,2,0.7042282298381667
1000,93.2,0,1000,0.9367990771484598
200,94.39999999999999,5,200,0.9511459067355542
50,87.6,5,50,0.8747857576465417
100,91.60000000000001,1,100,0.9012802556920204
100,92.4,6,100,0.9076672020577812
1000,92.4,7,1000,0.9293094528968066
200,94.8,2,200,0.9553130808515774
50,87.6,2,50,0.873376789761979
100,92.0,8,100,0.9059672687019823
1000,92.80000000000001,9,1000,0.9207604359718072
2000,92.0,8,2000,0.9071535617214833
2500,92.80000000000001,3,2500,0.9351565768686352
2500,92.0,4,2500,0.9118030235850197
2000,91.2,1,2000,0.9209241654514128
2000,92.4,6,2000,0.9161213959583122
100,90.8,5,100,0.8867631096638732
1000,91.60000000000001,4,1000,0.9227647083355195
200,94.0,1,200,0.9472864252452914
50,86.8,1,50,0.8697009211207996
1000,93.2,3,1000,0.9407315665441782
200,93.2,6,200,0.9418483475169922
50,88.0,6,50,0.8774138222919622
100,92.4,2,100,0.9096656058993519
200,94.39999999999999,8,200,0.9515674956851429
50,88.0,8,50,0.8774138222919622
2500,91.2,7,2500,0.9021985643674469
2500,92.4,0,2500,0.914293743918226
2000,91.2,5,2000,0.9178699955015746
2000,91.60000000000001,2,2000,0.9242565263583096
2500,93.2,9,2500,0.903105765951448
750,91.60000000000001,0,750,0.9267030158892168
10,72.39999999999999,7,10,0.7455393451380039
10,72.39999999999999,0,10,0.7455393451380039
750,93.2,7,750,0.9366632087967623
750,92.4,9,750,0.9302614484190364
10,72.39999999999999,9,10,0.7455393451380039
2,68.8,3,2,0.7042282298381667
75,92.0,5,75,0.9065592030586096
1,63.6,5,1,0.6455060695105995
2,68.8,4,2,0.7042282298381667
75,92.4,2,75,0.9110047431353792
1,63.6,2,1,0.6455060695105995
2000,91.60000000000001,3,2000,0.9084481725037937
2500,93.2,8,2500,0.9389274769296168
2000,92.80000000000001,4,2000,0.9348852511868394
2500,93.60000000000001,1,2500,0.9244133367317052
2500,92.80000000000001,6,2500,0.9384314367023082
200,94.39999999999999,9,200,0.9514746582690606
50,88.8,9,50,0.8829526690288941
1000,92.4,2,1000,0.9100865621177147
200,94.8,7,200,0.9557363786053698
50,86.0,7,50,0.8634681384935162
100,92.4,3,100,0.9076672020577812
100,90.8,4,100,0.8982649031699665
1000,91.60000000000001,5,1000,0.8871257177334871
200,95.19999999999999,0,200,0.95860286688843
50,87.6,0,50,0.873376789761979
2,68.8,5,2,0.7042282298381667
75,91.60000000000001,3,75,0.9047760755844988
1,63.6,3,1,0.6455060695105995
2,68.8,2,2,0.7042282298381667
75,92.80000000000001,4,75,0.9029427544747133
1,63.6,4,1,0.6455060695105995
10,72.39999999999999,8,10,0.7455393451380039
750,93.60000000000001,8,750,0.942243207358537
10,72.39999999999999,1,10,0.7455393451380039
750,94.39999999999999,6,750,0.9491320443427723
750,90.8,1,750,0.9157567733293055
10,72.39999999999999,6,10,0.7455393451380039
