n_shots,accuracy,run_num,nspw,f1
50,84.0,9,50,0.8666739685730099
200,85.2,1,200,0.8566094180537266
100,88.8,5,100,0.7470676677905845
1000,87.6,1,1000,0.8963422969321183
1,51.6,5,1,0.3363994727021467
100,85.6,2,100,0.8829560470722417
1000,90.0,6,1000,0.9107312681293372
1,26.400000000000002,2,1,0.22783732599230755
200,88.0,6,200,0.8701921237132505
1000,88.8,8,1000,0.878476144546181
50,79.60000000000001,0,50,0.817578794061383
200,88.4,8,200,0.8992926201910976
50,85.2,7,50,0.8443201583286483
2,58.8,7,2,0.4614545675595461
2,38.800000000000004,0,2,0.2736851081974203
75,84.0,4,75,0.7009782495311206
500,88.8,3,500,0.8852786925375931
500,82.0,4,500,0.8159639915915807
75,85.2,3,75,0.8590297870038318
2,56.39999999999999,9,2,0.3324222535275218
5,49.6,6,5,0.3896638260856178
25,82.39999999999999,8,25,0.6912241653620964
20,71.2,2,20,0.5170285286884596
750,88.4,0,750,0.8792321313831398
20,82.0,5,20,0.6931870887953281
750,88.8,7,750,0.9023235807238249
10,76.4,8,10,0.6583892405313356
5,60.0,1,5,0.3885823188470385
750,88.4,9,750,0.8943825352494083
250,87.2,2,250,0.8368286497748056
10,70.0,6,10,0.5345417141551189
25,70.39999999999999,1,25,0.5378311468537033
5,71.6,8,5,0.5851448852465801
10,64.4,1,10,0.5072541619634103
25,80.4,6,25,0.6720622064392031
250,87.6,5,250,0.8773885662228756
50,85.6,6,50,0.7129969609984506
1000,88.4,9,1000,0.8804873553643388
50,81.2,1,50,0.665610474868604
200,86.4,9,200,0.8823785242181326
100,85.6,3,100,0.8617592327250166
1000,88.4,7,1000,0.8997775372775374
1,38.4,3,1,0.22094432503145725
200,90.0,7,200,0.9126606353920329
50,86.8,8,50,0.8663431110177396
200,89.2,0,200,0.902360011747286
100,86.4,4,100,0.7228503876621776
1000,88.4,0,1000,0.8828591092617372
1,27.6,4,1,0.19553592174458015
5,72.39999999999999,9,5,0.6151128614196427
10,75.2,0,10,0.6054764640680134
25,85.6,7,25,0.8605019399895504
250,85.6,4,250,0.8219255804395122
250,87.6,3,250,0.8787428022678273
750,87.6,8,750,0.8684335839800271
10,70.39999999999999,7,10,0.6654046224404521
25,84.8,0,25,0.8659767189080979
20,81.2,4,20,0.6881230919392913
750,88.4,6,750,0.8957228917099501
10,76.8,9,10,0.6816724566193667
5,59.599999999999994,0,5,0.495668315866173
5,56.39999999999999,7,5,0.5114094472008142
25,82.8,9,25,0.6951917266459926
20,77.60000000000001,3,20,0.6527665831085225
750,87.6,1,750,0.8921671769789699
500,92.0,5,500,0.9306350516724758
75,86.0,2,75,0.8710392580420776
2,28.000000000000004,8,2,0.14795918367346939
75,87.2,5,75,0.7303844938072933
500,90.0,2,500,0.913350068819848
2,29.2,1,2,0.09545980475705486
2,18.8,6,2,0.1237363149312835
20,82.0,9,20,0.6993910754216097
250,88.8,0,250,0.8997437123692503
10,77.2,4,10,0.65215321833246
25,78.8,3,25,0.6672895839562507
10,75.6,3,10,0.6874187826178196
25,72.0,4,25,0.6305680129249903
250,89.60000000000001,7,250,0.9109990979742326
5,41.6,4,5,0.33225389747128875
20,84.0,0,20,0.7059354757134678
250,84.8,9,250,0.8464508956159401
750,88.0,2,750,0.8422422356611502
20,72.39999999999999,7,20,0.73161257167058
750,87.6,5,750,0.8730840598676483
5,41.199999999999996,3,5,0.33652521775086464
75,88.4,6,75,0.7409327962834492
500,92.0,1,500,0.930139461665792
500,86.4,6,500,0.8716179241864174
75,82.39999999999999,1,75,0.6803343655031298
500,90.4,8,500,0.9151854499715016
2,24.8,5,2,0.15241371169147594
75,83.2,8,75,0.8400712168789934
2,32.0,2,2,0.2761967664724744
50,83.2,2,50,0.8363708286384036
50,85.6,5,50,0.718285651415178
100,82.8,9,100,0.858207166143674
1,30.4,9,1,0.28667166167166164
200,86.4,3,200,0.8531076622555901
100,86.8,7,100,0.8749678849862089
1000,89.2,3,1000,0.8890646772551642
1,38.800000000000004,7,1,0.227672096149004
100,89.60000000000001,0,100,0.8916775940575867
1000,90.8,4,1000,0.9169069327760155
1,28.4,0,1,0.15148824623710466
200,83.2,4,200,0.6907292736244699
75,84.0,9,75,0.8696024992257869
2,28.000000000000004,3,2,0.18589885578654095
500,83.6,9,500,0.8309091574922712
2,26.400000000000002,4,2,0.17495631701323633
500,90.4,7,500,0.9122476533740201
75,87.6,0,75,0.8741154096661047
75,85.6,7,75,0.8679161321770689
500,87.6,0,500,0.8710137231473151
20,82.0,6,20,0.7057914071112305
750,89.60000000000001,4,750,0.9084894935155511
5,48.0,2,5,0.3308979179300586
5,50.4,5,5,0.35988982468005215
20,64.0,1,20,0.43470062635438
750,88.4,3,750,0.8829188925780752
250,89.60000000000001,8,250,0.890149017469529
10,79.60000000000001,2,10,0.6433428436791616
25,83.6,5,25,0.7031726610629385
250,89.2,6,250,0.8818539836688646
20,81.2,8,20,0.6759972360599313
250,88.8,1,250,0.9040440704687528
10,62.8,5,10,0.5377193160736525
25,79.2,2,25,0.6545574708938158
100,86.8,1,100,0.7217745591071586
1000,86.4,5,1000,0.8663741524155166
1,48.8,1,1,0.3793680337861372
200,86.0,5,200,0.7246828576912004
200,87.6,2,200,0.8675561628426994
100,89.2,6,100,0.9101739957338518
1000,88.0,2,1000,0.8738906915406641
1,27.6,6,1,0.19869394104323054
50,80.0,4,50,0.6871010406502313
100,86.8,8,100,0.8623220778245574
1,29.2,8,1,0.16075533661740557
50,86.0,3,50,0.8535054821539689
