n_shots,accuracy,run_num,nspw,f1
75,54.700854700854705,1,75,0.37151871657754015
75,70.94017094017094,6,75,0.5322122909880825
200,51.28205128205128,8,200,0.34593882502833906
75,57.26495726495726,8,75,0.42349475109461004
200,71.7948717948718,6,200,0.5504522536287242
100,49.572649572649574,2,100,0.3879093397024431
100,50.427350427350426,5,100,0.3900417392182098
200,62.39316239316239,1,200,0.5276359897412529
25,42.73504273504273,4,25,0.2994021029996263
10,27.350427350427353,3,10,0.17312933849775958
20,38.46153846153847,9,20,0.2318532666507899
25,50.427350427350426,3,25,0.3521621341621342
10,37.60683760683761,4,10,0.2125901725705449
20,56.41025641025641,7,20,0.3735249213550505
20,31.62393162393162,0,20,0.21174232952916214
5,25.64102564102564,1,5,0.1680842105263158
250,69.23076923076923,5,250,0.5322714842065756
1000,72.64957264957265,2,1000,0.5574034072828813
1000,71.7948717948718,5,1000,0.5479657272895664
5,17.094017094017094,6,5,0.07452790346907995
750,71.7948717948718,9,750,0.5892320684309581
250,60.68376068376068,2,250,0.48682396900001257
5,15.384615384615385,8,5,0.06208988764044945
750,69.23076923076923,7,750,0.5390083506160606
750,73.50427350427351,0,750,0.5679007648043718
1750,72.64957264957265,4,1750,0.543573448223603
50,57.26495726495726,5,50,0.3703196508319848
500,67.52136752136752,4,500,0.5364306651203204
2,11.11111111111111,0,2,0.08213685474189678
1,26.495726495726498,0,1,0.13495238095238093
500,63.24786324786324,3,500,0.5641100923678056
2,12.82051282051282,7,2,0.05980334316617503
1,11.965811965811966,7,1,0.05792592592592593
1750,74.35897435897436,3,1750,0.547638276962116
50,49.572649572649574,2,50,0.36884752523462194
1,11.965811965811966,9,1,0.11364948453608248
2,17.094017094017094,9,2,0.09153011204481792
20,46.15384615384615,1,20,0.31057406979705204
20,52.13675213675214,6,20,0.318655830753354
20,32.47863247863248,8,20,0.24018486977503373
25,62.39316239316239,2,25,0.4732196567784803
10,41.02564102564102,5,10,0.21043021710181722
25,55.55555555555556,5,25,0.37293705027451163
10,41.88034188034188,2,10,0.3422487404972474
100,58.119658119658126,4,100,0.42154816631596814
200,74.35897435897436,0,200,0.5944762563773058
75,56.41025641025641,9,75,0.4180733396140399
200,64.1025641025641,7,200,0.5321943620838762
100,59.82905982905983,3,100,0.48043401268553404
75,61.53846153846154,7,75,0.44231372549019604
200,70.08547008547008,9,200,0.5862694223339384
75,51.28205128205128,0,75,0.3871673881673881
2,10.256410256410255,8,2,0.05609769335142469
