n_shots,accuracy,run_num,nspw,f1
200,81.2,1,200,0.5142468671679198
1000,83.6,1,1000,0.49559007212856687
50,70.0,1,50,0.4826788415439525
100,79.2,5,100,0.5414265809959175
5,47.199999999999996,8,5,0.34996933289124393
100,80.4,2,100,0.5314402624040481
200,81.2,6,200,0.5203230450027763
1000,82.0,6,1000,0.5007194072823926
50,72.39999999999999,6,50,0.49538825141512705
5,47.199999999999996,6,5,0.34996933289124393
200,81.2,8,200,0.5192260222261768
1500,82.39999999999999,3,1500,0.4895662326194658
1000,81.2,8,1000,0.46217104550921745
50,70.39999999999999,8,50,0.490182241322948
1500,83.2,4,1500,0.4889396779054172
5,47.199999999999996,1,5,0.34996933289124393
2000,82.8,9,2000,0.5039445687710089
2,36.0,9,2,0.25934016504623464
2000,81.2,0,2000,0.4806681001750357
2,36.0,7,2,0.25934016504623464
2,36.0,0,2,0.25934016504623464
2000,81.2,7,2000,0.48457036241171814
25,64.0,0,25,0.48412273553759627
25,64.0,7,25,0.48412273553759627
1,29.2,4,1,0.22724469764643423
250,85.2,2,250,0.5559771591295284
25,64.0,9,25,0.48412273553759627
1,29.2,3,1,0.22724469764643423
250,83.2,5,250,0.5316351660035871
500,82.39999999999999,3,500,0.5284531198805292
500,85.2,4,500,0.547293654843854
2,36.0,1,2,0.25934016504623464
2000,80.80000000000001,6,2000,0.4756713096466658
2000,80.0,1,2000,0.46517500654854105
2,36.0,6,2,0.25934016504623464
2,36.0,8,2,0.25934016504623464
2000,81.6,8,2000,0.47533620473513255
1500,82.0,5,1500,0.489351054579166
5,47.199999999999996,0,5,0.34996933289124393
5,47.199999999999996,7,5,0.34996933289124393
200,79.60000000000001,9,200,0.5123755242681224
1500,82.8,2,1500,0.4879736449231186
1000,82.8,9,1000,0.5071714353757698
50,73.2,9,50,0.4920781943224613
100,80.0,3,100,0.5379217848542927
5,47.199999999999996,9,5,0.34996933289124393
200,81.6,7,200,0.5249931350114417
1000,83.6,7,1000,0.5011672825692663
50,68.8,7,50,0.4862548360865898
200,82.39999999999999,0,200,0.5299328511783756
1000,82.39999999999999,0,1000,0.4866502795450164
50,70.39999999999999,0,50,0.48307806466025177
100,79.60000000000001,4,100,0.5299962507000102
500,85.2,5,500,0.5561025164243633
500,83.6,2,500,0.5198674523910027
250,82.0,4,250,0.5397671947935105
1,29.2,2,1,0.22724469764643423
250,83.6,3,250,0.5497727018460171
1,29.2,5,1,0.22724469764643423
25,64.0,8,25,0.48412273553759627
25,64.0,6,25,0.48412273553759627
25,64.0,1,25,0.48412273553759627
500,84.0,1,500,0.5255852904989747
500,85.2,6,500,0.53515249931022
500,84.0,8,500,0.5193371683063732
1,29.2,6,1,0.22724469764643423
250,79.2,0,250,0.5107326571936037
1,29.2,1,1,0.22724469764643423
250,83.2,7,250,0.5459998574734071
25,64.0,2,25,0.48412273553759627
250,83.2,9,250,0.536896511215262
1,29.2,8,1,0.22724469764643423
25,64.0,5,25,0.48412273553759627
2000,79.60000000000001,2,2000,0.45464104889685397
2,36.0,5,2,0.25934016504623464
2,36.0,2,2,0.25934016504623464
2000,82.39999999999999,5,2000,0.4760029068224558
5,47.199999999999996,4,5,0.34996933289124393
1500,81.6,1,1500,0.47836264799975914
1500,84.0,6,1500,0.4968087107251194
5,47.199999999999996,3,5,0.34996933289124393
100,77.60000000000001,9,100,0.5274046761926461
200,82.0,3,200,0.5282049557548887
1500,82.39999999999999,8,1500,0.49736524068323795
50,69.6,3,50,0.4893386706985753
1000,82.0,3,1000,0.4778966831284282
100,78.0,7,100,0.5255994274731117
100,80.4,0,100,0.5336257935636981
200,80.80000000000001,4,200,0.518948819502011
50,70.39999999999999,4,50,0.4846191316460074
1000,83.6,4,1000,0.5063738111579567
1,29.2,9,1,0.22724469764643423
25,64.0,4,25,0.48412273553759627
25,64.0,3,25,0.48412273553759627
250,84.39999999999999,8,250,0.5481413485035775
250,82.8,6,250,0.5444603679676207
1,29.2,0,1,0.22724469764643423
250,81.6,1,250,0.5416567680721887
1,29.2,7,1,0.22724469764643423
500,83.2,9,500,0.5401688080881755
500,84.0,7,500,0.5246123361625351
500,82.39999999999999,0,500,0.5279087024087024
100,78.0,1,100,0.5353815099482571
200,83.2,5,200,0.5176902639843817
50,70.8,5,50,0.48338278181298777
1000,82.8,5,1000,0.4877999485894223
200,82.39999999999999,2,200,0.5252394119504982
1500,84.0,9,1500,0.5119159655005769
50,71.2,2,50,0.4917300427151761
1000,83.2,2,1000,0.5218537629251364
100,80.0,6,100,0.5445855466171257
1500,83.6,7,1500,0.5015740808244017
100,78.8,8,100,0.5266536683364537
5,47.199999999999996,2,5,0.34996933289124393
5,47.199999999999996,5,5,0.34996933289124393
1500,84.0,0,1500,0.4893714421155711
2,36.0,3,2,0.25934016504623464
2000,82.39999999999999,4,2000,0.46988646279667956
2000,81.6,3,2000,0.482987455254969
2,36.0,4,2,0.25934016504623464
