n_shots,accuracy,run_num,nspw,f1
1000,71.6,4,1000,0.3789072004360598
200,65.2,0,200,0.29746933120553976
100,57.599999999999994,4,100,0.2654348414743151
100,59.599999999999994,3,100,0.3061964861442099
1000,76.0,3,1000,0.3991265786448659
200,68.0,7,200,0.36713581171038195
5,28.4,9,5,0.21663657257774904
200,67.2,9,200,0.3217502535739186
5,7.199999999999999,7,5,0.03723265981330497
5,22.0,0,5,0.0798264587525151
50,60.8,5,50,0.32573947887068466
50,54.400000000000006,2,50,0.2584727540733161
2,24.0,8,2,0.1373646855779467
2,14.399999999999999,6,2,0.04572804269636849
2,1.6,1,2,0.0006299212598425197
75,62.4,1,75,0.22305279151635599
750,75.6,1,750,0.4015776482881746
750,76.8,6,750,0.4360386688711044
75,60.8,6,75,0.23746977883819986
750,74.4,8,750,0.3731993791301771
250,72.8,3,250,0.3825384667027417
75,61.6,8,75,0.2668943030616222
250,65.2,4,250,0.30283554931381024
1,15.6,9,1,0.09315570631922494
10,39.2,3,10,0.12499416027809129
25,46.0,4,25,0.2040380826902566
10,48.4,4,10,0.2110690717367361
25,52.0,3,25,0.20897440707340983
20,45.6,9,20,0.18915123537837977
1,2.8000000000000003,0,1,0.007654320987654322
20,35.199999999999996,7,20,0.20229427524128327
500,73.6,2,500,0.4051854750197058
20,43.6,0,20,0.06764526055879207
500,76.8,5,500,0.43034828390000807
1,8.4,7,1,0.04159863945578232
2,12.4,0,2,0.00826224328593997
2,10.4,7,2,0.0622680105963688
50,52.400000000000006,3,50,0.1985201658992033
2,19.6,9,2,0.14274542587920197
50,48.8,4,50,0.20574661674661676
5,38.0,1,5,0.22059273406332228
200,65.2,8,200,0.2535344341475936
5,21.6,6,5,0.0520511094774118
100,59.599999999999994,2,100,0.27876696302213544
1000,76.0,2,1000,0.4214198923598925
200,64.8,6,200,0.35206935432407127
5,31.6,8,5,0.08383703781933871
1000,77.60000000000001,5,1000,0.42611590046205594
200,72.39999999999999,1,200,0.39624801158426143
100,72.0,5,100,0.3750759461314187
20,63.6,1,20,0.2704604720464502
500,74.8,4,500,0.40537184358746325
1,6.800000000000001,6,1,0.05123215864595174
1,1.6,1,1,0.0006451612903225806
20,43.2,6,20,0.19959819569265683
500,75.6,3,500,0.40588975083780776
10,32.800000000000004,5,10,0.13044968558212655
25,47.599999999999994,2,25,0.1411865564829475
20,57.599999999999994,8,20,0.22264971757161914
1,11.600000000000001,8,1,0.05084029973071069
10,21.2,2,10,0.12384778184778186
25,52.400000000000006,5,25,0.28934568879384276
250,76.0,5,250,0.40349459729241666
250,64.8,2,250,0.3153524714349002
750,73.6,9,750,0.35770040496046684
75,65.60000000000001,9,75,0.3656062873949407
750,76.4,7,750,0.41679473782922066
75,69.19999999999999,7,75,0.40451561166731453
75,64.8,0,75,0.29840115627745284
750,72.8,0,750,0.31867243588771377
1,0.4,2,1,0.00015999999999999996
10,42.4,8,10,0.15099316214046618
20,43.2,5,20,0.19637095715859612
500,75.2,0,500,0.35558795709231283
20,49.2,2,20,0.13177019450088376
500,76.0,7,500,0.40411088159785274
1,4.0,5,1,0.026729690535474873
25,57.199999999999996,8,25,0.19257752441506656
500,72.0,9,500,0.3341093742330903
10,43.2,1,10,0.22927817621736213
25,45.2,6,25,0.20457963207839236
10,31.6,6,10,0.09344329999502415
25,53.6,1,25,0.15787452462594462
250,73.2,1,250,0.3859020830381871
250,72.0,6,250,0.41867908117585545
75,51.2,3,75,0.2560048754836179
250,66.0,8,250,0.2830479074235382
750,74.0,3,750,0.40256957890730727
750,70.8,4,750,0.35840833636253483
75,57.199999999999996,4,75,0.2696876007899455
2,4.3999999999999995,4,2,0.025738818878181368
2,8.4,3,2,0.014008765561560593
50,53.2,9,50,0.2911052177796363
50,60.4,7,50,0.3466704247857512
50,57.199999999999996,0,50,0.27708330408330406
5,19.2,5,5,0.06971493078201595
1000,74.8,8,1000,0.3955826293530278
5,26.0,2,5,0.15488113275613274
100,59.599999999999994,8,100,0.20341441920753658
1000,76.8,6,1000,0.42223720231335693
200,64.0,2,200,0.3516184462878892
100,58.8,6,100,0.26447554037226334
100,68.0,1,100,0.32143219189894373
1000,74.8,1,1000,0.395840051565979
200,74.4,5,200,0.3858270002664569
750,78.8,5,750,0.4285632425091249
75,72.0,5,75,0.38271014405006926
75,63.2,2,75,0.3114101183897089
750,75.6,2,750,0.4158930477199385
250,72.39999999999999,9,250,0.3649507368146786
250,67.2,7,250,0.36676809623232715
250,71.6,0,250,0.3367449315859796
10,13.600000000000001,7,10,0.07436720791875802
25,43.6,0,25,0.09377639751552795
500,73.6,8,500,0.347765123511119
10,34.8,0,10,0.06347421701691196
25,38.4,7,25,0.22088383597574868
20,44.800000000000004,3,20,0.16702849577272985
500,76.4,6,500,0.3964425300751377
1,4.0,4,1,0.022407407407407404
